ID,BLACK,BLUCLLR,CD,CITY,COAST,CONSTRCT,DC,ENROLL,FARMER,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,POPSQMI,POPULATN,PORT,RURLFARM,SC,STATE,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,EMPLYD,UNEMPLY,URBNFARM,ACEREGIO,AGE65,BANK,CVLLBFRC,FINANCE,FLOOD,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,REDIST,FEDWRKR,FIPSTATE,LOCLWRKR,STATWRKR,WHLSALE,party,candidatevotes,totalvotes,winratio,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
1978-IA-3,2348,33314,3,0,0,5116,0,65083,43315,32,2562,1000,7466,19491,46.13809269,344467,,126477,31,IA,7242,9427,18.2,148488,0,,14803,,,,,,,,,,,,,,,,,,,,,,4,103659,138539,0.74822974,4,117957,208938,0.564555035,0
1978-IA-4,1304,19994,4,0,0,2868,0,53590,34871,17,2010,1000,7269,8167,36.99270876,268900,,113027,31,IA,5293,12254,18.2,91636,0,,8404,,,,,,,,,,,,,,,,,,,,,,0,88526,136834,0.646959089,0,145343,210356,0.690938219,0
1978-IA-5,7083,29153,5,0,0,5194,0,56749,19174,31,5918,1000,3464,13251,90.40329099,313157,,60416,31,IA,7850,17352,18.2,204284,2392,,20289,,,,,,,,,,,,,,,,,,,,,,0,82333,139710,0.589313578,0,135600,209052,0.648642443,0
1978-IA-6,300,18643,6,0,0,4153,0,62325,47142,23,2270,1000,8798,4976,34.56001364,304059,,143860,31,IA,6026,9456,18.2,82191,0,,10917,,,,,,,,,,,,,,,,,,,,,,0,87139,131459,0.662860664,0,133507,198002,0.674270967,0
1978-KS-1,14619,22286,1,0,0,4853,0,56499,33212,22,6683,3023,8248,7713,37.8992483,312593,,108208,32,KS,8432,13721,14.1,128928,2417,,12066,,,,,,,,,,,,,,,,,,,,,,4,131037,131037,1,4,142311,194772,0.730654303,0
1978-KS-2,28160,36759,2,0,0,4732,0,56977,19744,25,3281,3023,4592,18164,67.15853659,308392,,70152,32,KS,12672,18093,14.1,178084,0,,10549,,,,,,,,,,,,,,,,,,,,,,4,76419,146879,0.520285405,0,88645,174861,0.506945517,1
1978-KS-3,8158,22882,3,0,0,2860,0,47486,20765,8,2189,3023,6079,7405,41.05510775,249574,,71302,32,KS,7305,15704,14.1,121151,0,,8769,,,,,,,,,,,,,,,,,,,,,,4,103265,103265,1,4,123578,179865,0.687059739,0
1978-KS-4,9393,33602,4,0,0,5752,0,72269,34741,16,5936,3023,12247,12671,31.2358945,382546,,114874,32,KS,10826,15593,14.1,184922,256,,18920,,,,,,,,,,,,,,,,,,,,,,0,100139,143993,0.695443529,0,90067,179168,0.502695794,0
1978-KS-5,3224,21420,5,0,0,3918,0,61621,35877,14,2932,3023,27859,4505,10.62916831,296118,,116253,32,KS,6423,11577,14.1,89911,0,,12296,,,,,,,,,,,,,,,,,,,,,,4,86011,150766,0.570493347,4,109573,180625,0.606632526,0
1978-MN-1,123,23281,1,0,0,4474,0,58809,44192,30,2239,93240,7156,12045,44.45975405,318154,,128597,33,MN,4652,12463,26.1,124499,0,,11269,,,,,,,,,,,,,,,,,,,,,,4,110090,195929,0.561887214,4,158177,231773,0.682465171,0
1978-MN-2,95,18859,2,0,0,3823,0,57710,48702,34,2010,93240,7804,8311,39.15415172,305559,,143750,33,MN,4252,10171,26.1,83570,0,,10714,,,,,,,,,,,,,,,,,,,,,,4,145415,206588,0.7038889,4,148322,245810,0.603401001,0
1978-MN-3,2442,41154,3,1,0,6065,0,60901.5,12589,41,6090,93240,2000,25514.5,179.69825,359396.5,,42171.5,33,MN,11072.5,23353.5,26.1,283522,0,,27439,,,,,,,,,,,,,,,,,,,,,,4,128759,195879,0.65733948,4,149013,225459,0.660931699,0
1978-MN-4,4182,39272,4,0,0,5174,0,54357,1114,25,6572,93240,160,24010,1937.09375,309935,,4132,33,MN,13809,22497,26.1,293729,0,,28086,,,,,,,,,,,,,,,,,,,,,,0,95989,165385,0.580397255,0,133282,200599,0.664420062,0
