,BLACK,BLUCLLR,CD,CITY,COAST,CONSTRCT,DC,ENROLL,FARMER,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,POPSQMI,POPULATN,PORT,RURLFARM,SC,STATE,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,WHLRETL,ACEREGIO,AGE65,BANK,CVLLBFRC,FLOOD,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,ID,YEAR,party,candidatevotes,totalvotes,winratio,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
0,0.02262841853915900,1.6024550405167600,1,1,1,-0.12167191831476400,0,-0.5445602472958240,0.04905676616892610,0.0005496533575905610,-1.0281388757270300,0.0,741,1.7128008165004600,-0.2667624200579190,0.044723637725667600,0.0,0.054018023377066500,1,CT,-0.4616293575700320,0.30117305597229400,-1.3560416061949200,0.2528466165030860,0.11139896373057000,-0.24444307457323300,1.0,-0.5662594471931650,0.02314112984237730,-0.294408624775924,0.03097272780451210,-0.468857588093242,0.02857142857142860,0.03333333333333330,0.10391423184450300,0,1978-CT-1,1978,0,-0.22079310329713800,0.053379018695702700,-0.5771899344621060,0.0,0.5301692195134340,1.0721883482547400,-0.7714571089273610,0.0
1,0.010751476095673400,1.5698557236441600,2,0,1,-0.5028560503690310,0,-0.7520686209687070,0.1179097066572810,0.0005719154363492430,-0.8596619951954090,0.0,1978,1.223561485744460,-0.3062463575228090,0.02092699764910870,0.0,0.18151078911129100,1,CT,-0.27000173864768500,0.3789751991007190,-1.3560416061949200,-0.6902396777217380,0.0,-1.132268742832160,1.0,1.495499504771560,0.02314112984237730,2.931938703334310,0.03097272780451210,-0.6365944341704410,0.02857142857142860,0.03333333333333330,0.11491006436209800,0,1978-CT-2,1978,0,0.1555174870120540,-0.047618627165490400,0.14470516346759800,0.0,0.9218895346559450,0.9680576713275690,-0.22336782665546900,0.0
2,0.024706614446938500,2.018506179153110,3,0,1,-0.5268493192163400,0,-0.5115335186708750,0.02795853498094900,0.000495281923014844,-1.1278703265093400,0.0,404,1.919028807180290,-0.2493700755043370,0.028823761039249500,0.0,0.031187666038030200,1,CT,0.5404074263311080,0.38527865579477200,-1.3560416061949200,0.5485189165950490,0.0,-0.4436716935712260,1.0,0.5602477706471400,0.02314112984237730,1.4684082888659500,0.03097272780451210,-0.5489138100846320,0.02857142857142860,0.03333333333333330,0.10992215274400000,0,1978-CT-3,1978,0,-0.3813251670117400,-0.05160583857601050,-0.6758156645782140,0.0,0.3411066020817520,1.028264988864340,-0.9401449929050310,0.0
3,0.026383442582008500,2.0476668066765700,4,0,0,0.35851806798960900,0,-0.6425329105064840,0.025946220573908200,0.000651788024028809,-1.1898866822617900,0.0,633,1.8391330690406600,-0.2622886116015340,0.040539290696277700,0.0,0.0346420485839247,1,CT,-0.16631490192906200,0.3500690413357280,-1.3560416061949200,0.17315139453693300,0.0,-0.6201909503342630,1.0,-0.3328972098099440,0.02314112984237730,0.07076870613645460,0.03097272780451210,-0.4938101767658830,0.02857142857142860,0.03333333333333330,0.10515880608328700,0,1978-CT-4,1978,4,-0.7295650213951640,-0.4497649057727970,-0.6595656697256430,4.0,0.4704666864417320,0.7469063550380760,-0.502055624892181,0.0
4,0.018773252858987900,2.08324680084972,5,0,0,-0.7371590851156730,0,-0.5766466020566670,0.07014907576886380,0.0004214868144677300,-1.184537926072370,0.0,1144,1.9332569007095400,-0.2999304439787660,0.017336671338453000,0.0,0.08689610577810860,1,CT,0.1284425343183470,0.3415389423994920,-1.3560416061949200,0.018431427095316900,0.0,-0.7824360941081340,1.0,2.0741228968754800,0.02314112984237730,3.8373985939377100,0.03097272780451210,-0.5697076339785,0.02857142857142860,0.03333333333333330,0.11799599538438200,0,1978-CT-5,1978,0,-0.38382034353847500,0.2702868323895940,-1.0802956763698100,4.0,1.3169189971280600,1.2709717885538100,-0.12419116842680000,1.0
5,0.0028676967192312200,1.132940482348990,1,0,1,-0.8130898512745120,0,-0.28288302168678100,0.09273550516565490,0.0003130839440017790,-0.8375848879102680,0.0005823636079758050,4223,0.8923382805504780,-0.3118920748863100,0.023692837221467300,0.03850987661768060,0.14795714835600700,2,ME,0.26115303843565000,0.3372756890433210,-1.7586134920845300,-0.4282864156083230,0.0,-0.518752032076541,1.0,0.837693529021229,0.09882924512794290,0.08538982703876500,0.03097272780451210,-0.7873496574009810,0.07142857142857140,0.16666666666666700,0.11244514485395900,0,1978-ME-1,1978,4,0.268532710782749,0.4735467902862420,-0.4425997547051170,4.0,1.0001784452289500,1.587642420311680,-0.7512568123320700,0.0
6,0.0006278605358738910,0.9615866696136110,2,0,1,-0.9076902928062280,0,-0.2838179165969800,0.17296787138158800,0.00022813734658136500,-1.0917889308251700,0.0005823636079758050,8561,0.8567598414253910,-0.31494352369854000,0.021898323985156100,0.0,0.2696336974019720,2,ME,-0.2857493992194360,0.3855269544695410,-1.7586134920845300,-0.7426233578012390,0.2659758203799660,-1.133125093360610,1.0,1.0582324133633300,0.09882924512794290,0.3409205219469250,0.03097272780451210,-0.8750302814867900,0.07142857142857140,0.16666666666666700,0.11367276040590100,0,1978-ME-2,1978,4,-0.6224622811334710,0.06168717286828430,-1.1843323283264700,4.0,1.6556378025413300,0.9723723786412980,0.6043238885317550,0.0
7,0.008429239692649450,1.327007212105820,1,0,0,-0.9370512092551520,0,-0.6173544772723850,0.07441571659207630,0.0004270113884310170,-1.1685652639770900,2.67280737994191E-07,2614,1.407659846599320,-0.3090200848504890,0.020931151078937900,0.0,0.08458403768150080,3,MA,-0.0002680423636990450,0.42294735782260000,-0.9717684423912030,0.5393783741366880,0.0,-0.6476753961417970,1.0,0.5137716786271900,0.05616335774689050,1.1219219254701200,0.03097272780451210,-0.6410997626807790,0.11038961038961000,0.07575757575757580,0.12182393705772000,0,1978-MA-1,1978,4,0.5663808479197250,-0.6605601662910890,2.2315416252009200,4.0,0.7831259566343250,0.9059908774170970,-0.31231871626059900,0.0
8,0.010406091696293200,1.0745603755383600,2,0,0,-0.8042998935821900,0,-0.6337416547652300,0.044347644767168400,0.0005489313844641480,-1.0730490199906800,2.67280737994191E-07,419,1.1876156595115400,-0.25670413730538500,0.025605785700123900,0.0,0.04870238359657630,3,MA,0.027821090314306900,0.49280909789720400,-0.9717684423912030,0.8915354424936830,0.3272884283246980,-0.4010869055543370,1.0,0.030129915873972800,0.05616335774689050,0.396999330171054,0.03097272780451210,-0.6199593750553470,0.11038961038961000,0.07575757575757580,0.1178285849191230,0,1978-MA-2,1978,0,-0.2527693329169240,-0.5277526531856140,0.3471690009962270,0.0,0.6936686738238840,0.36231970271847900,0.27788144079957900,0.0
9,0.00421683513910551,1.6563807695173900,3,0,0,-1.0811916761242900,0,-0.630376358133477,0.04010268660740060,0.0005728862388407820,-1.179735582733450,2.67280737994191E-07,796,1.8380486353169700,-0.2904357607534350,0.019521685916241800,0.0,0.049576544499770500,3,MA,-0.32539835730159700,0.4165703113646950,-0.9717684423912030,0.5697440606398750,0.0,-0.697704004843425,1.0,0.6856706165245360,0.05616335774689050,1.3795783848302700,0.03097272780451210,-0.630702850733845,0.11038961038961000,0.07575757575757580,0.12324398975383300,0,1978-MA-3,1978,0,0.22909807306674400,-0.1896125348423400,0.51155332318339,0.0,1.6343489547208400,0.05203989267215220,2.1748331597394700,0.0
