ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CD,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FIPSTATE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,SC,STATE,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,ID,party,candidatevotes,totalvotes,winratio,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
17,0.656597311,0.029411994,0.005489276,-0.447173388,3,0,1,0.399432257,0.115862817,0,0.356118798,0.214854787,0.07394646,9861,53,0.016004259,0.060390252,0.724984297,0.022973852,6929,-0.02444032,-0.069046138,0,-0.062602399,0,0,0.019658727,0,-0.339059731,0.256376518,,0.063172059,73,WA,1.417619689,0.19230253,0.433576202,0.854351632,-0.318102665,0,0.020135236,-0.106076045,1982-WA-3,0,-0.285608235,0.032719977,-0.681851196,0,1.464498557,1.747221525,-0.44901801,0
17,0.570344564,0.029411994,0.01010606,-0.740462193,4,0,0,1.579739176,0.35633755,0,0.309724657,0.56754642,0.112562733,8994,53,0.016004259,0.08090735,0.419293124,0.022973852,25778,0.465373516,-1.010056733,0,-0.156613671,0,0,0.003579364,1,-0.345942572,0.256358341,,0.244221149,73,WA,0.116321002,-0.386686946,0.461927552,0.854351632,-0.491167287,0,0.016705772,0.117141082,1982-WA-4,4,0.105662373,0.007659227,-0.008049452,4,0.856107099,1.48049023,-0.819736826,0
17,0.96548545,0.029411994,0.011715551,-0.984234438,5,0,0,-0.126455855,-0.006521312,0,-0.167489249,0.236493897,0.091081644,13029,53,0.016004259,0.065235676,0.613239085,0.022973852,17681,-0.079145703,-1.148773554,0,-0.218610733,0.076923077,0.2,0.050023801,0,-0.34478195,0.256744267,,0.124522745,73,WA,1.091702389,-0.004887165,0.38475207,0.854351632,0.060814501,0.14167031,0.01819088,0.643693516,1982-WA-5,0,0.037067951,0.182489509,-0.388173178,0,0.45000616,1.431431372,-1.201432043,0
17,0.452176263,0.029411994,0.066550902,-1.024599795,6,0,0,-0.253876614,-0.567448782,0,-0.23097712,0.074275155,0.280442626,11124,53,0.016004259,0.10622489,1.032802735,0.022973852,1059,-0.084426145,-0.570845644,0,-0.137681409,0.307692308,0.4,0.383724042,0,-0.28686788,0.256568083,,0.013171103,73,WA,-0.213207233,-0.185245967,0.380275603,0.854351632,0.632092011,0.184958461,0.022013876,-0.174172344,1982-WA-6,0,-0.479277288,-0.29469241,-0.510442666,0,0.518057677,1.372331673,-1.080076922,0
17,1.596026173,0.029411994,0.10015326,-0.575180606,7,1,0,-0.515821727,1.733382516,0,-1.601781357,0.053405713,0.124612262,18435,53,0.016004259,0.166807939,0.846154588,0.022973852,110,0.097221073,0.408459435,0,0.018164416,0,0,0.014801735,0,0.24459151,0.256541516,,0,73,WA,0.989285676,2.045553627,0.359025529,0.854351632,1.124721045,0.131176213,0.019020187,1.332842549,1982-WA-7,0,0.47951385,0.321441451,0.070248069,0,0.229706223,0.760088574,-0.826643822,0
17,-0.75212662,0.029411994,0.010191159,-0.852649632,8,0,0,0.708438695,1.164942906,0,0.57679338,0.08224592,0.079146935,16878,53,0.016004259,0.092220941,-0.404266611,0.022973852,1739,-0.344646346,0.852194304,0,0.412979257,0,0,0.011918123,0,-0.310956573,0.256579269,,0.019621677,73,WA,-0.284282449,1.358973992,0.260027608,0.854351632,0.197202447,0,0.021060846,1.148725849,1982-WA-8,4,-0.763684173,-0.382405034,-0.894987917,,,,,
19,-0.007345858,0.005476205,0.015506381,-1.255814414,1,1,1,0.004960676,0.800819328,0,-1.06097664,0.064768929,0.27499687,19051,15,0.001578651,0.297353755,1.729903646,0.002578877,179,-2.275809737,-1.552485759,0,0.245514061,0.923076923,0.8,0.356442196,0,-0.008192925,0.208632158,,0,82,HI,2.628049608,1.962798815,0.176993046,0.710199454,1.12162872,0,0.012149817,2.049077665,1982-HI-1,0,0.70295378,-0.186354247,1.382002102,0,-0.188754685,-0.650305881,0.745543873,0
19,-0.673037429,0.005476205,0.023296704,-1.080172677,2,1,1,0.701113111,-0.392812732,0,0.101172011,0.283998428,0.194081112,12597,15,0.001578651,0.184245082,0.879368961,0.002578877,6247,-2.051707762,-1.595327595,0,-0.038551114,0,0,0.38522209,0,-0.33872105,0.208723046,,0.032616894,82,HI,1.875953236,0.580639589,0.19668125,0.710199454,0.111266927,0,0.010577705,-0.257518138,1982-HI-2,0,0.631508955,-0.220591919,1.33531094,0,1.050712069,0.002520538,1.453303756,0
1,1.38562072,0.018485606,0.124523455,-0.640492538,1,0,0,-0.727375703,1.198083184,0,-0.263868244,0.042278394,0.059565467,38794,9,0.015704859,0.18426528,0.340377965,2.58E-05,455,0.427143113,0.642386941,0,0.108519243,0.076923077,0,0.003533541,0,-0.205189985,0.256060506,,0.003584844,1,CT,0.575287525,-0.621370695,0.187849159,-0.587170146,0.688114457,0.081329252,0.015691389,0.045583879,1984-CT-1,0,1.045239683,1.426458257,-0.566309552,0,0.629756226,0.550948943,-0.067389336,0
1,0.614046211,0.018485606,0.03083424,-0.324603563,2,0,1,-0.602618794,0.653566501,0,-0.071167617,0.096818951,0.090249736,12335,9,0.015704859,0.089240402,0.832693698,2.58E-05,1778,0.028575322,1.432536948,1,-0.041801287,0.307692308,0.2,0.153901827,1,-0.311667184,0.258789954,,0.023106298,1,CT,1.393690055,-0.759265876,0.23541596,-0.587170146,-0.580661237,0,0.017688076,-0.594010724,1984-CT-2,0,0.421370906,1.226170581,-1.074556649,0,-0.274844298,0.258752856,-0.931150549,0
