year,state,state_po,district,party,candidatevotes,totalvotes,winratio,ID,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
1976,Florida,FL,14,0,82665,113439,0.728717637,1976-FL-14,,,,,
1976,Florida,FL,15,0,121292,172233,0.704232058,1976-FL-15,,,,,
1976,Georgia,GA,1,0,73826,73888,0.999160892,1976-GA-1,,,,,
1976,Georgia,GA,2,0,95807,96026,0.997719368,1976-GA-2,,,,,
1976,Georgia,GA,3,0,93174,105004,0.887337625,1976-GA-3,,,,,
1976,Georgia,GA,4,0,110261,161412,0.683102867,1976-GA-4,,,,,
1976,Georgia,GA,5,0,96056,144063,0.666763846,1976-GA-5,,,,,
1976,Georgia,GA,6,0,77532,149944,0.517073041,1976-GA-6,,,,,
1976,Georgia,GA,7,0,84587,153554,0.550861586,1976-GA-7,,,,,
1976,Georgia,GA,8,0,90559,130186,0.695612431,1976-GA-8,,,,,
1976,Georgia,GA,9,0,113245,143357,0.789950962,1976-GA-9,,,,,
1976,Georgia,GA,10,0,94782,94864,0.999135605,1976-GA-10,,,,,
1976,Hawaii,HI,1,0,60050,137602,0.436403541,1976-HI-1,,,,,
1976,Hawaii,HI,2,0,124116,156099,0.795110795,1976-HI-2,,,,,
1976,Idaho,ID,1,4,95833,175495,0.546072538,1976-ID-1,,,,,
1976,Idaho,ID,2,4,84175,166412,0.505822897,1976-ID-2,,,,,
1976,Illinois,IL,1,0,126632,137193,0.923020854,1976-IL-1,,,,,
1976,Illinois,IL,2,0,127297,150335,0.846755579,1976-IL-2,,,,,
1976,Illinois,IL,3,0,115591,196365,0.588653782,1976-IL-3,,,,,
1976,Illinois,IL,4,4,124847,189772,0.657878928,1976-IL-4,,,,,
1976,Illinois,IL,5,0,119336,155092,0.76945297,1976-IL-5,,,,,
1976,Illinois,IL,6,4,106667,176027,0.605969539,1976-IL-6,,,,,
1976,Illinois,IL,7,0,88239,104094,0.847685746,1976-IL-7,,,,,
1976,Illinois,IL,8,0,105595,131107,0.805410848,1976-IL-8,,,,,
1976,Illinois,IL,9,0,121915,168983,0.721463106,1976-IL-9,,,,,
1976,Illinois,IL,10,0,106804,213414,0.500454516,1976-IL-10,,,,,
1976,Illinois,IL,11,0,135755,201440,0.673922756,1976-IL-11,,,,,
1976,Illinois,IL,12,4,151899,208553,0.728347231,1976-IL-12,,,,,
1976,Illinois,IL,13,4,109726,164266,0.667977549,1976-IL-13,,,,,
1976,Illinois,IL,14,4,176076,236588,0.744230477,1976-IL-14,,,,,
1976,Illinois,IL,15,4,102555,190231,0.539107716,1976-IL-15,,,,,
1976,Illinois,IL,16,4,114324,168328,0.679173994,1976-IL-16,,,,,
1976,Illinois,IL,17,4,113145,194365,0.582126412,1976-IL-17,,,,,
1976,Illinois,IL,18,4,108028,187130,0.577288516,1976-IL-18,,,,,
1976,Illinois,IL,19,4,132571,193539,0.684983388,1976-IL-19,,,,,
1976,Illinois,IL,20,4,137223,215857,0.635712532,1976-IL-20,,,,,
1976,Illinois,IL,21,4,137037,184035,0.744624664,1976-IL-21,,,,,
1976,Illinois,IL,22,0,129187,210289,0.614330754,1976-IL-22,,,,,
1976,Illinois,IL,23,0,128113,162938,0.786268397,1976-IL-23,,,,,
1976,Illinois,IL,24,0,152344,226110,0.673760559,1976-IL-24,,,,,
1976,Indiana,IN,1,0,121155,169911,0.713049773,1976-IN-1,,,,,
1976,Indiana,IN,2,0,117617,214845,0.547450488,1976-IN-2,,,,,
1976,Indiana,IN,3,0,101777,178871,0.568996651,1976-IN-3,,,,,
1976,Indiana,IN,4,4,107762,198183,0.543749968,1976-IN-4,,,,,
1976,Indiana,IN,5,4,127194,206001,0.617443605,1976-IN-5,,,,,
1976,Indiana,IN,6,0,105773,192627,0.549107861,1976-IN-6,,,,,
1976,Indiana,IN,7,4,130005,207360,0.626953125,1976-IN-7,,,,,
1976,Indiana,IN,8,0,109013,216026,0.504629072,1976-IN-8,,,,,
1976,Indiana,IN,9,0,136056,136056,1,1976-IN-9,,,,,
1976,Indiana,IN,10,0,114559,191449,0.59837868,1976-IN-10,,,,,
1976,Indiana,IN,11,0,115895,191859,0.604063401,1976-IN-11,,,,,
1976,Iowa,IA,1,4,109694,211204,0.519374633,1976-IA-1,,,,,
1976,Iowa,IA,2,0,102980,204550,0.50344659,1976-IA-2,,,,,
1976,Iowa,IA,3,4,117957,208938,0.564555035,1976-IA-3,,,,,
