STATE,FIPSTATE,SC,CD,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,WHLSALE
DE,10,11,1,2,94792,7438,96157,43354,0,1,17197,280437,0,103949,5994,7616,13437,16.53,18829,44734,0,1933,12944,62077,0,20817,1,1,5677,,307.4692188,594338,,10246,24174,10595,17628,20.3,419819,311,78567,57108,14651
NJ,34,12,1,2,78343,41732,76724,39827,0,0,13977,235873,0,102441,1849,9728,13773,16.53,17589,38638,36417,508,21904,50014,0,20273,0,0,738,,1035.545276,526057,,2296,7006,11859,20128,19.9,462259,0,68257,46389,10726
NJ,34,12,2,2,125573,41732,69028,37844,0,1,15177,230407,0,97693,4034,6334,11533,16.53,23937,41867,36417,2081,26249,40175,0,18439,1,0,1825,1,252.8515137,526184,,3591,9284,7702,22076,19.9,355717,0,70191,40954,6156
NJ,34,12,3,2,113604,41732,42211,31074,0,1,11849,237881,0,95805,1517,12158,16358,16.53,35104,41155,36417,241,23771,40469,0,22575,1,1,2860,,2177.564315,524793,,135,5226,12076,16911,19.9,513007,0,72900,48655,9094
NJ,34,12,4,2,85450,41732,91057,38470,0,0,9648,257174,0,92722,1716,10445,13188,16.53,32763,59417,36417,433,23905,55804,0,22152,1,1,3009,,1218.092379,527434,,1628,25067,9880,17389,19.9,469869,0,72997,43598,8820
NJ,34,12,5,2,77806,41732,4890,31558,0,0,13767,259298,0,110552,3460,5718,18081,16.53,36062,36076,36417,1322,23381,62012,0,27809,0,0,165,,398.1497731,526354,,4977,6977,9625,11490,19.9,345522,0,74162,50362,13271
NJ,34,12,6,2,77357,41732,42472,50597,0,1,10291,270824,0,86679,1231,5415,14195,16.53,51452,40155,36417,171,23434,77680,0,25193,0,0,173,,3063.146199,523798,,0,11306,14791,15498,19.9,523798,0,73481,52965,14077
NJ,34,12,7,2,93008,41732,73895,46845,0,0,9661,266418,0,90279,1754,5853,16246,16.53,68720,36406,36417,341,22758,73458,0,25322,0,0,213,,1541.193548,525547,,1380,7795,11772,14903,19.9,482138,0,65486,45458,13180
NJ,34,12,8,2,99106,41732,60375,55735,0,0,9551,257288,0,92336,975,5835,12644,16.53,77019,31995,36417,181,20759,83086,0,21694,1,0,265,,2906.839779,526138,,27,5401,10555,17589,19.9,522183,0,61533,47735,12799
NJ,34,12,9,2,111351,41732,30643,33313,0,1,10638,279448,0,77128,1398,5819,19365,16.53,77658,34165,36417,105,23585,59667,0,26649,0,0,117,,5022.371429,527349,,0,4761,15221,13794,19.9,527349,0,73883,64335,19397
