STATE,SC,CD,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,DC,EMPLYD,ENROLL,FARMER,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
VT,6,1,384,42507,0,0,5591,0,125092,67556,30361,21,5205,0,9278,27475,38.71858159,359231,,105512,7856,16315,12,123239,239,,14364
DE,11,0,35876,40238,0,0,,0,102627,45282,13736,32,,0,1978,,134.7345804,266505,,45673,,11633,8.2,139432,0,5411,13918
DE,11,1,35876,40238,0,1,6969,0,102627,45282,13736,32,3853,0,1978,29643,134.7345804,266505,,45673,7910,11633,8.2,139432,150,,13918
NJ,12,0,226973,716802,0,0,,0,1569059,741579,43840,1117,,958,7522,,553.0663387,4160165,,132219,,288281,17.1,3394773,0,127351,190282
NJ,12,1,29718,64689,0,1,6354,0,130086,66944,6941,51,3879,958,900,56062,411.3555556,370220,,23232,9496,27866,17.1,248963,0,,12792
NJ,12,2,27898,30970,0,1,5310,0,78778,37489,6214,43,3182,958,1345,16597,168.1553903,226169,,20488,4993,19415,17.1,151537,0,,13896
NJ,12,3,18212.36,47860.8,0,1,7488.85,0,108974.56,53318.52,6378.54,108.9,6805.58,958,1311,31479.87,229.5729901,300970.19,,18926.81,7719.35,20500.17,17.1,165672.49,0,,14025.86
NJ,12,4,20863,52230,0,1,5398,0,109712,53673,5806,47,6392,958,1047,41499,281.1184336,294331,,19718,6417,18947,17.1,158899,0,,13079
NJ,12,5,8440.92,59230.6,0,1,6219.45,0,121288.32,59908.44,5314.38,119.3,3467.26,958,892,48371.39,367.9343386,328197.43,,19517.57,8417.95,19291.49,17.1,199863.53,2557,,12239.42
NJ,12,6,19699,56958,0,1,6151,0,128834,61320,783,105,3542,958,103,53412,3187.805825,328344,,518,10777,16614,17.1,306643,0,,12371
NJ,12,7,5280.38,47391.2,0,0,6488.76,0,111022.6,53242.44,9632.84,84.1,2773.5,958,1514,36176.02,194.7274637,294817.38,,27243.58,8389.46,16347.82,17.1,202946.68,0,,9094.9
NJ,12,8,6640.48,67264.26,0,0,5379.22,0,122300.08,52036.04,949.62,66.64,2783.2,958,121,58152.22,2505.503636,303165.94,,1042.72,7186.34,23119.18,17.1,287766.22,0,,14563.78
NJ,12,9,6775.43,47762.18,0,1,6247.99,0,110036.1,51126.47,990.23,98.28,2901.59,958,123,39010.68,2302.74374,283237.48,,1226.84,10649.83,16639.79,17.1,258456.79,0,,8966.61
