STATE,SC,CD,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
WV,56,5,4,17016,1139,40980,56333,0,0,4261,100049,0,64285,7348,1093,2,3707,6817,0,3735,6191,0,2409,0,0,61,88,330450,0,64030,9617,4744,45,69348,0,,14472
WV,56,6,4,20570,1139,36094,77715,0,0,7241,147279,0,91870,2507,2717,2,5337,10548,0,2469,23790,0,2998,1,0,220,181,446466,0,33771,10296,7039,45,172831,194,,27480
AZ,61,0,,,,25974,83366,,,,258216,,143245,32946,,,,30741,14522178,113575,,,,,,7273,7,749587,,,,19521,28,,,,
AZ,61,1,14,20495,657,14409,34531,0,0,9421,117997,0,62895,12391,4541,1,18229,13704,14522178,9226,9983,0,2892,4,4,3255,36,331770,0,67693,8473,9574,28,237983,183,109000,30198
AZ,61,2,14,23746,657,11565,48835,0,0,11023,140219,0,80350,20555,2735,1,26075,17037,14522178,104349,11003,0,2689,5,2,4018,4,417817,0,188980,12659,9947,28,178017,0,,27617
CO,62,0,,,,10545,153736,,,,497648,,223855,70162,,,,61816,8712879,103922,,,,,,15431,13,1325089,,,,21004,28,,,,
CO,62,1,10,39173,1511,15059,52940,1,0,1755,174072,0,56030,989,9656,1,22569,21050,8712879,66,27943,0,3554,3,1,6338,6300,415786,0,0,19569,6854,28,415786,489,205000,54404
CO,62,2,10,31467,1511,1194,43054,0,0,14083,144634,0,82140,33659,3395,1,17451,18224,8712879,29250,13276,0,2951,2,0,4053,14,401112,0,122677,12254,5319,28,182189,0,,26416
CO,62,3,12,30633,1511,3642,38173,0,0,7599,114661,0,51795,18844,2796,0,13713,14063,8712879,31541,13822,0,2680,5,2,4981,11,334893,0,95728,10731,5750,28,185155,781,,21517
CO,62,4,14,14319,1511,282,19569,0,0,4768,64281,0,33890,16670,1104,1,5383,8479,8712879,43065,3238,0,2539,0,0,59,4,173298,0,77185,4904,3081,28,48188,152,,11952
ID,63,0,,,,476,64003,,,192,217895,,117670,54331,53,,,21907,11979260,82769,683,,3059,,,414,7,588637,,,182,11902,22,,,,588
ID,63,1,17,20944,544,168,27424,0,0,4790,86778,0,45275,22010,1415,1,8625,8229,11979260,40618,9701,0,2774,0,0,115,6,231896,0,83677,5651,5816,22,95512,0,79000,14226
ID,63,2,17,22593,544,882,36579,0,0,10519,131117,0,72395,32321,3518,1,10777,13678,11979260,42093,8605,0,3074,2,1,299,8,356741,0,87451,12744,6086,22,157037,235,,28236
MT,64,0,,,,1232,66661,,,,230143,,105200,53368,,,,25295,7844113,145878,,,,,,2008,4,591024,,,,11683,48,,,,
MT,64,1,10,23303,690,517,34406,0,0,6486,100280,0,43620,15277,2260,1,18289,12627,7844113,47953,11422,0,3151,0,0,197,5,258347,0,41655,9353,5789,48,123754,199,84000,19077
MT,64,2,10,27558,690,715,32240,0,0,8283,129833,0,61570,38091,2758,1,24069,12662,7844113,97656,7093,0,3058,1,1,1811,3,332619,0,94284,13152,5893,48,134280,95,,26361
NV,65,0,,,,4302,21148,,,,68206,,25530,6218,,,,9571,47712200,109789,,,,,,2724,1,160083,,,,4571,31,,,,
NV,65,1,15,10986,240,4302,21148,0,0,5499,68206,0,25530,6218,1543,0,10581,9571,47712200,109789,3255,0,3613,6,4,2724,1,160083,0,13461,5882,4571,31,91625,145,28000,13392
NM,66,0,,,,8408,70284,,,,218276,,140310,37092,,,,32103,14651141,121511,,,,,,11624,6,681187,,,,11732,14,,,,
NM,66,1,12,33064,470,8408,70284,0,0,23380,218276,0,140310,37092,4550,0,,32103,14651141,121511,12146,0,2587,7,4,11624,6,681187,0,131823,16983,11732,14,341889,493,96000,43188
