STATE,SC,CD,REDIST,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
RI,5,1,0,1,41095,1511,10162,66980,0,1,7117,155422,0,74119,422,2.84816484,44179,14558,0,226,60270,0,5543,5,1,18087,0,1768.946903,399782,0,1444,3174,8793,28,357388,0,-9,24762
RI,5,2,0,1,48445,1511,8170,75425,0,1,9663,179647,0,91701,636,2.84816484,41795,21854,0,832,64369,0,5626,2,0,6755,0,552.53125,459706,0,2512,4143,9004,28,385509,393,-9,27648
VT,6,1,0,1,43741,685,519,56055,0,0,8408,148234,0,87343,8339,2.84816484,23336,16033,0,9276,35385,0,4890,2,1,1069,0,42.03115567,389881,0,48845,4988,6638,19,149921,188,47375,24091
DE,11,1,0,2,35745,1119,60688,59374,0,1,11303,170752,0,94028,3635,1.17290196,14650,16817,0,1978,53360,0,6197,1,1,6949,0,225.627907,446292,0,21821,6096,7802,24,292788,294,59296,26543
NJ,12,0,0,,560414,12252,514875,926670,0,0,129797,2457722,0,1205926,12664,,615479,233090,4561,7521,845580,0,6786,0,0,51611,,806.6456588,6066782,0,51357,102866,112226,32,5374369,0,879723,395251
NJ,12,1,0,2,49961,12252,56371,93936,0,0,13098,225832,0,122130,2103,1.17290196,29087,20394,4561,900,88654,0,6576,0,0,2191,0,650.6511111,585586,18460229,10821,8528,8886,32,494981,0,83717,36679
NJ,12,2,0,2,41100,12252,45155,48237,0,1,8704,125020,0,60314,2403,1.17290196,25317,12250,4561,1345,29117,0,5288,0,0,2239,1,235.1561338,316285,0,6192,4086,8395,32,238761,0,43065,23115
NJ,12,3,0,2,46987,12252,34081,53797,0,1,13777,156912,0,89764,1789,1.17290196,37657,23587,4561,1116,32275,0,6166,3,1,11451,0,396.6326165,442642,0,6968,5826,8181,32,297806,0,62207,28642
NJ,12,4,0,2,39127,12252,47994,69283,0,0,10919,181677,0,93577,1366,1.17290196,36682,26669,4561,1047,58665,0,6601,3,2,32333,0,468.8548233,490891,0,6835,5639,7101,32,397781,0,65916,26759
NJ,12,5,0,2,32905,12252,9851,54409,0,0,9275,160272,0,84879,860,1.17290196,33929,18136,4561,774,57117,0,7618,1,0,368,0,523.9444444,405533,0,4528,4429,4997,32,281708,2009,63605,22851
NJ,12,6,0,2,42673,12252,37972,74021,0,1,9712,210510,0,105129,185,1.17290196,54591,15594,4561,103,81834,0,7746,1,0,197,0,4895.679612,504255,0,0,7243,7290,32,504255,0,76001,34100
NJ,12,7,0,2,46694,12252,8373,79748,0,0,13442,220222,0,122297,2823,1.17290196,50570,18170,4561,1571,75567,0,7307,0,0,426,0,353.6314449,555555,0,13730,8036,7968,32,435629,0,415410,38211
NJ,12,8,0,2,38861,12252,26282,73515,0,0,8037,168275,0,75294,194,1.17290196,59752,11201,4561,89,71457,0,6433,0,0,97,0,4430.101124,394279,0,0,5642,10009,32,394279,0,-6,26703
NJ,12,9,0,2,41693,12252,10284,64194,0,1,9813,192503,0,87439,149,1.17290196,58838,13838,4561,95,64183,0,7813,0,0,176,0,4748.694737,451126,0,0,10495,6439,32,451126,0,-6,33644
NJ,12,10,0,2,30269,12252,25361,52721,1,0,5316,133957,0,56685,44,1.17290196,38524,10480,4561,29,50121,0,6582,0,0,100,0,10482.03448,303979,0,0,5398,6908,32,303979,0,-6,19220
NJ,12,11,0,2,32101,12252,93496,45060,1,0,5224,134728,0,54895,90,1.17290196,32913,12175,4561,24,39649,0,6264,0,0,168,0,12860.83333,308660,0,0,4275,8374,32,308660,950,-6,20704
NJ,12,12,0,2,36977,12252,62116,48584,1,0,5678,154677,0,70439,108,1.17290196,43389,13707,4561,85,47213,0,7120,0,0,228,0,4258.741176,361993,0,0,5384,7680,32,359107,0,-6,26885
NJ,12,13,0,2,24424,12252,34588,44265,1,1,3479,109856,0,48106,36,1.17290196,29295,12144,4561,15,37036,0,6138,1,0,713,0,17131.8,256977,0,0,9218,5830,32,256977,0,-6,15806
NJ,12,14,0,2,28108,12252,6462,50354,1,1,4092,112455,0,43202,32,1.17290196,42714,8521,4561,15,40588,0,5907,0,0,96,0,17011,255165,0,0,11926,7021,32,255165,0,-6,16167
NJ,12,15,0,2,28534,12252,16489,74546,0,1,9231,170826,0,91776,482,1.17290196,42221,16224,4561,312,72104,0,7054,0,0,828,0,1390.564103,433856,0,2283,6741,7147,32,394155,0,69802,25765
NY,13,0,0,,1687590,83168,1417511,2248981,0,0,321894,6958335,0,3222833,58651,,2289314,772247,5276,47939,1886379,0,6371,0,0,41115,,350.0762219,16782304,0,324746,316651,358873,39,14333225,0,2279781,1202643
NY,13,1,0,2,39382,83168,19069,47867,0,1,12646,131049,0,80898,1380,1.17290196,37769,22305,5276,772,27220,0,6420,3,1,1852,0,515.873057,398254,0,3882,4738,6075,39,253922,0,307765,21015
