STATE,SC,CD,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
IL,21,1,7,30313,26356,346249,56362,1,1,4620,170128,0,74699,25,0.00217944,8180,22320,6,17,38573,0,5267,0,0,224,0,23372,397324,45973244,0,10662,17111,38,397324,0,1358236,22019
IL,21,2,7,36557,26356,81415,50290,0,1,5215,163332,0,65758,19,0.00217944,40608,12952,6,37,46975,0,7044,0,0,857,0,9879.1,365525,0,0,8817,8561,38,365525,0,1358236,28251
IL,21,3,7,39046,26356,86036,59191,1,0,8895,177376,0,89135,27,0.00217944,37125,18931,6,35,48492,0,7582,0,0,133,0,12173.4,426070,45973244,0,13459,7555,38,426070,0,1358236,29154
IL,21,4,7,28692,26356,30767,75508,0,0,12033,190314,0,118245,581,0.00217944,25991,12612,6,332,68348,0,7843,0,0,624,0,1556.1,516624,0,2283,15567,5646,38,492083,0,1358236,31927
IL,21,5,7,29941,26356,17358,68125,1,0,5149,152841,0,70452,19,0.00217944,44678,10312,6,34,59029,0,7097,0,0,106,0,10324.2,351023,45973244,0,16174,7019,38,351023,0,1358236,27315
IL,21,6,7,19313,26356,128077,45349,1,0,3446,113059,0,56076,33,0.00217944,24505,8394,6,15,38775,0,6008,0,0,76,0,18580.2,278703,45973244,0,6220,8716,38,278703,0,1358236,18151
IL,21,7,7,28928,26356,126528,65808,1,1,4369,152346,0,82627,28,0.00217944,49857,9682,6,21,52524,0,5207,0,0,238,0,18724.2,393209,45973244,0,9946,12764,38,393209,0,1358236,22054
IL,21,8,7,54130,26356,1207,99964,1,0,9510,227440,0,82822,21,0.00217944,91333,13359,6,22,94754,0,6901,0,0,144,0,21979,483537,45973244,0,12117,10179,38,483537,0,1358236,39318
IL,21,9,7,54161,26356,25075,54224,1,1,6199,226262,0,53122,21,0.00217944,69195,12371,6,14,56459,0,6647,3,0,314,0,30585.9,428202,45973244,0,9445,9299,38,428202,516,1358236,39580
IL,21,10,7,47255,26356,5986,81850,1,0,11059,239103,0,112388,95,0.00217944,48462,17731,6,107,91766,0,8399,1,0,300,0,5164.3,552582,45973244,76,12144,5652,38,551166,2582,1358236,43867
IL,21,11,7,50685,26356,1431,69649,1,0,10341,199911,0,76909,36,0.00217944,64219,14931,6,36,71239,0,7968,0,0,180,0,12041.4,433491,45973244,0,8831,5265,38,433491,0,1358236,38121
IL,21,12,7,28777,26356,11774,53757,0,1,10012,146578,0,86899,3030,0.00217944,22911,14945,6,1351,47588,0,7384,6,1,20805,0,294.7,398192,0,16656,4019,4431,38,275722,2487,1358236,24246
IL,21,13,7,36478,26356,11017,40041,0,1,10719,199085,0,108660,597,0.00217944,40761,15067,6,286,52038,0,9389,1,0,1374,0,1760.3,503435,0,2603,5322,3249,38,476871,0,1358236,43458
IL,21,14,7,33132,26356,12592,66393,0,0,11828,189376,0,116228,2225,0.00217944,24114,16347,6,1174,62563,0,7843,1,0,454,0,430.2,505076,0,11825,10255,5608,38,403679,0,1358236,32315
IL,21,15,7,41193,26356,5478,69766,0,0,8586,166210,0,84750,7873,0.00217944,16795,14724,6,3057,61437,0,6621,0,0,469,1,134.3,410650,0,37288,5864,5615,38,288303,0,1358236,26697
IL,21,16,7,38594,26356,10262,65272,0,0,7012,159797,0,86245,10305,0.00217944,15490,11124,6,3617,60066,0,6070,1,0,74,0,109.3,395293,0,45246,4475,6014,38,263385,0,1358236,25978
IL,21,17,7,45941,26356,15600,50987,0,0,7479,145557,0,80001,13819,0.00217944,8167,17044,6,5941,33940,0,5481,0,0,222,0,65.2,387204,0,60940,6061,6130,38,185732,1890,1358236,26134
IL,21,18,7,38793,26356,11031,56343,0,0,7647,149965,0,81805,8836,0.00217944,8900,12422,6,3726,47224,0,5971,0,0,217,0,105,391232,0,38917,5362,5959,38,255062,0,1358236,26840
IL,21,19,7,41295,26356,7077,52680,0,0,5579,136853,0,73228,9758,0.00217944,10754,13641,6,4327,41835,0,5773,1,0,118,0,81,350515,0,46503,6580,5810,38,229134,0,1358236,22890
IL,21,20,7,61195,26356,8770,55024,0,0,9709,173030,0,90159,16868,0.00217944,8525,22570,6,7929,32093,0,5010,0,0,220,1,56.2,445443,0,74952,5359,8582,38,238794,0,1358236,30736
IL,21,21,8,52191,26356,17854,47164,0,0,6863,127481,0,72974,10076,1.6563744,5436,17085,6,7100,20506,0,4133,0,0,104,0,51.2,363196,0,57254,6137,9901,38,152377,176,1358236,22013
IL,21,22,7,36321,26356,13371,43018,0,0,6941,137600,0,72325,9919,0.00217944,6432,24959,6,4652,25046,0,5589,1,1,9580,0,80.4,373881,0,43797,6109,5653,38,229294,0,1358236,24590
IL,21,23,8,61350,26356,2725,60062,0,0,8210,162709,0,92813,21491,1.6563744,3783,16067,6,10699,30270,0,4491,0,0,171,0,41.5,443553,0,108556,8287,8778,38,165734,0,1358236,28649
IL,21,24,8,40642,26356,59790,75674,0,0,8367,176795,0,104636,2998,1.6563744,9877,16558,6,1401,59461,0,6081,4,1,4395,0,347.8,487198,0,15949,12085,10179,38,376406,0,1358236,27405
IN,22,0,,445519,6998,269275,725330,0,0,87051,1793225,0,1006616,77054,,93202,169993,127,36185,607633,0,5798,0,0,9214,,128.9,4662498,0,485474,67782,75984,36,2910291,0,596148,303724
IN,22,1,7,31138,6998,87109,96890,0,1,9378,190316,0,117215,766,0.00217944,36436,11631,127,514,91990,0,6542,0,0,379,0,998.6,513269,18567036,4475,8299,6544,36,480378,0,596148,27221
IN,22,2,4,37030,6998,1249,49584,0,1,7547,134161,0,76270,11306,4.01888736,6447,18433,127,5242,33404,0,5477,0,0,818,0,68.2,357309,0,66421,5702,5194,36,135314,0,596148,23279
IN,22,3,7,42338,6998,21196,76419,0,0,7680,186721,0,104351,4336,0.00217944,17569,12955,127,1987,73464,0,6366,1,0,165,0,238,472958,0,31382,6159,7871,36,324831,0,596148,31286
IN,22,4,3,37428,6998,11788,58023,0,0,7354,152428,0,84394,8449,0.00036324,6351,11155,127,3183,48861,0,6075,0,0,144,0,122.5,390010,0,60254,6126,5214,36,226403,200,596148,28322
IN,22,5,4,45823,6998,11599,79651,0,0,6622,178933,0,98984,9198,4.01888736,3931,13611,127,3578,73000,0,5775,1,1,3676,0,128.4,459473,0,56393,5472,7387,36,254749,1650,596148,26868
IN,22,6,4,39019,6998,6083,45862,0,0,6664,124705,0,70089,8807,4.01888736,3483,13387,127,4134,33081,0,5427,2,0,251,0,80.7,333783,0,50307,5403,5063,36,153670,0,596148,22931
IN,22,7,4,38086,6998,2380,47441,0,0,7022,120971,0,70150,8413,4.01888736,2568,17983,127,4680,28674,0,4927,1,0,547,0,70.3,329213,0,52425,4836,5728,36,135109,0,596148,20503
IN,22,8,4,43311,6998,15245,62094,0,0,8651,155646,0,93877,6959,4.01888736,1671,13587,127,3918,45789,0,5110,1,0,173,0,108.2,423929,0,45844,6088,8956,36,258352,0,596148,27813
IN,22,9,4,31325,6998,1711,45874,0,0,5696,105951,0,64470,9050,4.01888736,1145,11078,127,5011,36243,0,4883,2,1,206,0,58,290596,0,60929,2757,5848,36,96097,0,596148,15314
IN,22,10,4,40830,6998,11003,65308,0,0,6375,153428,0,85674,9076,4.01888736,2049,14509,127,3536,55806,0,5450,0,0,156,0,111.5,394391,0,53509,4262,6625,36,209455,0,596148,25344
IN,22,11,4,59191,6998,99912,98184,1,0,14062,289965,0,141142,694,4.01888736,11552,31664,127,402,87321,0,6609,3,1,2699,0,1735.2,697567,0,3535,12678,11554,36,635933,727,596148,54843
MI,23,0,,638184,13947,717581,1142088,0,0,125562,2930348,0,1757521,57130,,529624,293683,543933,57019,1035892,0,6256,0,0,13561,,137.2,7823194,0,440937,86678,203484,43,5740903,0,998463,484018
MI,23,1,3,27875,13947,116873,46851,1,1,2815,107413,0,61427,24,0.00036324,34526,7643,543933,26,42760,0,5266,0,0,89,0,10896.2,283302,32262008,0,2281,14022,43,283302,0,998463,14549
MI,23,2,3,38432,13947,21489,65838,0,1,7164,181290,0,103974,5239,0.00036324,17234,29565,543933,2737,56108,0,6309,0,0,384,1,176.6,483343,0,42315,5306,11256,43,258091,486,998463,27373
MI,23,3,3,38938,13947,16021,64174,0,0,7767,164630,0,93467,5679,0.00036324,13798,19156,543933,2950,56369,0,6173,0,0,893,0,145.1,427899,0,44294,4394,7994,43,245093,2000,998463,27042
MI,23,4,3,37708,13947,21072,62881,0,1,7133,141557,0,84773,7285,0.00036324,13513,10825,543933,3561,54356,0,5728,0,0,124,0,103.1,366991,0,57802,3702,7317,43,127714,0,998463,21413
MI,23,5,3,41533,13947,14841,71979,0,1,8813,175594,0,104509,2890,0.00036324,25383,12051,543933,1426,62593,0,6232,0,0,136,0,323.9,461906,0,22617,6141,8772,43,341671,0,998463,32727
MI,23,6,3,42517,13947,44229,99665,0,0,10080,237778,0,138878,2741,0.00036324,24620,31695,543933,1773,90694,0,6323,0,0,206,0,351.9,623842,0,23168,5005,12950,43,469889,0,998463,38267
MI,23,7,3,44774,13947,9474,97107,0,1,10861,232992,0,154705,10193,0.00036324,45445,20234,543933,4477,86746,0,6330,3,1,3544,0,148.4,664556,0,67399,5701,15654,43,424636,0,998463,38110
MI,23,8,3,36207,13947,20056,61392,0,0,6363,143047,0,93528,7488,0.00036324,13246,12120,543933,3776,51642,0,5665,0,0,93,0,105.4,398106,0,62918,4322,7831,43,201163,217,998463,24005
MI,23,9,3,31469,13947,14977,46535,0,1,4951,111258,0,74051,4052,0.00036324,9640,10227,543933,5777,39530,0,5444,1,0,421,0,54.2,312854,0,30814,3497,8015,43,150138,0,998463,17960
MI,23,10,3,27902,13947,1308,40680,0,1,6736,107375,0,74041,5243,0.00036324,8568,11925,543933,7572,33652,0,5463,1,1,1292,0,40.8,308917,0,45091,2345,7470,43,124103,0,998463,18176
MI,23,11,3,25400,13947,482,29980,0,1,5674,80799,0,58669,3850,0.00036324,11178,10770,543933,12780,17335,0,4771,1,1,2458,1,18.8,240793,0,28973,3450,8744,43,105235,0,998463,14583
MI,23,12,7,21292,13947,1024,23432,0,1,3258,57172,0,40584,1016,0.00217944,14710,8786,543933,8706,7825,0,4653,1,1,1886,0,20.4,177431,0,7520,2022,5445,43,84388,269,998463,9397
MI,23,13,3,29707,13947,133135,36015,1,1,3022,116763,0,44880,13,0.00036324,23555,10357,543933,17,29777,0,4732,0,0,119,0,15767.1,268040,32262008,0,3348,15411,43,268040,0,998463,16767
MI,23,14,3,44110,13947,65733,63298,1,1,5351,187593,0,96696,48,0.00036324,61435,16638,543933,43,66993,0,6760,0,0,313,0,10748.7,462192,32262008,0,4262,15046,43,462192,0,998463,32977
MI,23,15,3,31979,13947,155964,47258,1,1,4040,137518,0,67254,31,0.00036324,38444,14498,543933,21,40161,0,5602,0,0,172,0,16048.4,337017,32262008,0,4459,14804,43,337017,0,998463,22267
MI,23,16,3,45015,13947,55784,128456,1,1,10868,294231,0,183399,455,0.00036324,70681,25396,543933,381,126847,0,6996,1,0,947,0,2107.6,802994,32262008,2936,14875,19768,43,747191,890,998463,45494
MI,23,17,3,35684,13947,2093,66552,1,0,8640,199312,0,117599,116,0.00036324,56410,19857,543933,119,73199,0,7852,0,0,115,0,4308.8,512752,32262008,257,5981,9820,43,501553,0,998463,38263
MI,23,18,3,37642,13947,23026,89995,0,0,12026,254026,0,165087,767,0.00036324,47238,21940,543933,877,99305,0,7576,0,0,369,0,787.1,690259,0,4833,5587,13165,43,609487,0,998463,44648
MI,23,98,,638184,13947,717581,1142088,0,1,125562,2930348,0,1757521,57130,0.00036324,529624,293683,543933,57019,1035892,0,6256,0,0,13561,0,137.2,7823194,0,440937,86678,203484,43,5740903,203,998463,484018
OH,24,0,,897124,16003,786097,1453735,0,0,177611,3707164,0,2067054,79900,,396614,360752,88,40972,1295892,0,6171,0,0,16911,,236.9,9706397,0,519513,145243,202284,37,7123901,0,1296400,609243
OH,24,1,4,41864,16003,65358,48356,1,0,7103,157065,0,68607,165,4.01888736,12251,14973,88,128,47039,0,6204,0,0,139,0,2935.6,375753,0,353,5610,7925,37,362991,0,1296400,26543
OH,24,2,4,40861,16003,58082,63340,1,0,10256,182953,0,102842,473,4.01888736,11988,15500,88,287,62115,0,6620,0,0,172,0,1701.6,488368,0,2016,8052,8587,37,454114,460,1296400,32718
OH,24,3,4,53449,16003,72201,109738,1,0,12964,282701,0,154959,2004,4.01888736,13510,34453,88,936,109191,0,6750,3,1,2869,0,775.8,726156,0,13194,5972,13707,37,627659,779,1296400,43016
OH,24,4,4,36339,16003,9520,55790,0,0,6503,134440,0,81437,8704,4.01888736,3146,10917,88,3112,48659,0,5529,0,0,77,1,114.7,356994,0,60549,3960,5802,37,164613,0,1296400,21523
OH,24,5,3,31081,16003,1141,44054,0,1,5543,109387,0,67822,9599,0.00036324,4351,11798,88,3846,33942,0,5543,2,0,182,0,77.5,298051,0,64731,4685,4955,37,102726,0,1296400,17702
OH,24,6,4,38053,16003,9141,53600,0,0,8212,128049,0,86114,8939,4.01888736,2222,14374,88,4740,37180,0,4939,0,0,721,0,80.3,380847,0,54611,5401,8724,37,120679,2080,1296400,20331
OH,24,7,4,38849,16003,24049,62158,0,0,8134,157921,0,98896,8102,4.01888736,4111,24266,88,3429,46884,0,5726,1,1,3611,0,127,435621,0,47223,4547,7800,37,227081,0,1296400,24352
OH,24,8,4,31865,16003,3067,45338,0,0,5113,109490,0,64693,7741,4.01888736,2809,9979,88,3169,37661,0,5525,1,0,64,0,91.7,290694,0,47650,4598,4888,37,158787,0,1296400,17075
OH,24,9,3,44995,16003,42863,66641,1,1,7606,179580,0,96941,612,0.00036324,19345,14932,88,343,59144,0,6533,1,0,153,0,1332.2,456931,45016077,3810,10069,11625,37,423284,0,1296400,32815
OH,24,10,4,29801,16003,5279,37977,0,0,5219,90767,0,60722,4164,4.01888736,1528,13394,88,3621,25232,0,4660,0,0,117,0,75.8,274441,0,30190,3864,6687,37,110735,0,1296400,14771
OH,24,11,3,38116,16003,17724,86805,0,1,9810,191510,0,115200,3220,0.00036324,23420,16257,88,2356,77994,0,6545,0,0,334,0,217.3,512022,0,24808,8930,11404,37,290941,0,1296400,28141
OH,24,12,4,53703,16003,80235,83974,1,0,15372,269009,0,132536,977,4.01888736,14895,41933,88,537,67209,0,6425,3,1,6475,0,1271.8,682962,0,5390,10792,12325,37,629387,0,1296400,48894
OH,24,13,3,33108,16003,17986,64847,0,1,6890,144703,0,87121,3913,0.00036324,16447,10365,88,1666,55026,0,6094,0,0,113,0,233.7,389312,0,24505,7991,8692,37,269078,0,1296400,21869
OH,24,14,4,47317,16003,41868,90583,1,0,8957,223132,0,126402,1316,4.01888736,28468,15855,88,837,93751,0,6694,0,0,166,0,691.6,578884,0,8258,8751,11396,37,476560,0,1296400,35768
OH,24,15,4,30334,16003,5713,34474,0,0,4951,82215,0,49917,4203,4.01888736,2459,8539,88,3499,23712,0,4780,0,0,58,0,67.5,236288,0,30633,2753,6223,37,86332,0,1296400,13546
OH,24,16,4,48022,16003,20171,79798,0,0,7979,184770,0,106060,4105,4.01888736,17447,13524,88,1675,73488,0,5958,0,0,77,0,294.1,492631,0,27315,6330,10238,37,313152,0,1296400,30630
OH,24,17,4,37528,16003,9896,58840,0,0,7784,141317,0,81549,7441,4.01888736,6446,12591,88,3532,49480,0,5713,0,0,110,0,106.3,375504,0,48383,4581,6831,37,188991,0,1296400,21570
OH,24,18,4,36039,16003,9988,56481,0,0,5103,118019,0,72104,3004,4.01888736,14033,8009,88,2272,42067,0,5338,0,0,60,0,144.8,328921,0,20202,4327,8491,37,163453,0,1296400,19618
OH,24,19,4,34718,16003,36505,63559,0,0,7099,140595,0,81142,714,4.01888736,29986,9710,88,532,57405,0,6113,1,0,59,0,710.8,378122,0,5495,5600,9278,37,311809,0,1296400,23051
OH,24,20,3,44569,16003,8632,84548,1,1,7487,196140,0,90642,103,0.00036324,61854,14673,88,71,81925,0,6763,2,0,500,0,6554.1,465341,21960213,0,10592,10184,37,465341,804,1296400,32713
OH,24,21,3,37466,16003,194911,72880,1,0,5891,169104,0,84922,18,0.00036324,35900,16387,88,32,60100,0,5692,0,0,239,0,13181.4,421804,21960213,0,6468,14401,37,421804,0,1296400,24281
OH,24,22,3,36416,16003,48802,47708,1,1,5750,154606,0,67420,80,0.00036324,40130,12143,88,68,54970,0,7206,0,0,138,0,5264.7,357998,21960213,64,4961,7613,37,356410,0,1296400,27005
OH,24,23,3,32631,16003,2965,42246,0,1,7885,159691,0,89006,303,0.00036324,29868,16180,88,286,51718,0,8465,0,0,477,0,1408.2,402752,0,133,6409,4508,37,397974,1102,1296400,31311
OH,24,98,,897124,16003,786097,1453735,0,0,177611,3707164,0,2067054,79900,4.01888736,396614,360752,88,40972,1295892,0,6171,1,0,16911,0,236.9,9706397,0,519513,145243,202284,37,7123901,218,1296400,609243
WI,25,0,,402736,6580,74546,587724,0,0,71717,1527722,0,870298,103291,,171519,142275,638,54705,483783,0,5926,0,0,5239,,72.2,3951777,0,553864,47779,59091,33,2522887,0,492165,258053
WI,25,1,7,42796,6580,8703,75724,0,1,7971,170810,0,94191,7406,0.00217944,25417,12741,638,2477,70464,0,5716,1,1,173,1,175.4,434528,0,40183,4137,5920,33,282973,0,492165,26709
WI,25,2,7,47477,6580,2059,71012,0,0,12318,204963,0,114853,12126,0.00217944,16843,31377,638,3987,53313,0,5374,1,0,2565,0,133,530316,0,61524,4926,5396,33,336588,456,492165,35536
WI,25,3,7,36510,6580,148,35741,0,0,5348,110643,0,69929,19049,0.00217944,5021,11372,638,7566,18251,0,3825,0,0,98,0,39.6,299265,0,92898,3664,5113,33,107919,1176,492165,18254
WI,25,4,7,45525,6580,2129,87478,0,1,8001,212860,0,102708,229,0.00217944,35020,18106,638,157,90621,0,6144,2,0,637,0,3282.6,515367,0,0,8635,8468,33,515367,0,492165,34604
WI,25,5,7,48965,6580,60895,81748,1,1,9049,218882,0,102288,167,0.00217944,39164,18551,638,82,78977,0,6050,0,0,722,0,6349.7,520674,0,0,6152,9044,33,520674,0,492165,41310
WI,25,6,7,38707,6580,130,62776,1,1,6830,145086,0,83731,9437,0.00217944,11701,10417,638,2662,56055,0,5353,0,0,127,0,141.4,376325,0,52582,3690,3951,33,222464,0,492165,23550
WI,25,7,7,36607,6580,62,45594,0,0,5245,118151,0,74348,14753,0.00217944,7953,9341,638,8108,32409,0,4255,0,0,193,0,39.4,319547,0,81794,3513,4400,33,124643,1108,492165,19012
WI,25,8,7,39291,6580,177,60174,0,1,7232,149007,0,98409,10591,0.00217944,9408,10880,638,6563,48013,0,5044,0,0,325,0,62.7,411807,0,68559,4854,5338,33,247198,0,492165,26149
WI,25,9,7,36515,6580,132,37833,0,0,5537,112808,0,72471,19849,0.00217944,7523,10504,638,8635,20027,0,3887,0,0,186,0,35.6,307078,0,103038,3206,5401,33,86877,0,492165,18631
WI,25,10,9,30343,6580,111,29644,0,1,4186,84512,0,57370,9684,0.00036324,13469,8986,638,14468,15653,0,3713,0,0,213,0,16.4,236870,46177391,53286,5002,6060,33,78184,0,492165,14298
IA,31,0,,327685,4521,25354,331476,0,0,52979,1052632,0,598358,153470,,56278,112443,1373,56032,189660,0,5069,0,0,1690,,49.2,2757537,0,662239,39449,33630,23,1463484,0,339427,198587
IA,31,1,7,46823,4521,4031,51710,0,0,7182,158658,0,83552,16350,0.00217944,7201,22820,1373,5943,35952,0,5418,1,0,163,0,67.8,403048,0,71604,5120,4896,23,246303,482,339427,28922
IA,31,2,7,48865,4521,1744,58834,0,0,7964,170852,0,95449,21645,0.00217944,7705,12325,1373,7220,42641,0,5382,0,0,154,0,61.3,442406,0,99869,5822,5161,23,249229,0,339427,29486
IA,31,3,7,45796,4521,5177,49269,0,0,7592,153010,0,90275,25541,0.00217944,9472,14059,1373,8296,29113,0,5141,0,0,227,0,48.6,403442,0,108674,5174,6101,23,201826,0,339427,28929
IA,31,4,7,51536,4521,1203,43921,0,0,6656,135236,0,79025,25085,0.00217944,5329,13996,1373,10420,23280,0,4470,0,0,67,0,35.1,366119,0,110102,4883,4243,23,153790,1515,339427,24358
IA,31,5,7,40330,4521,11041,47028,0,0,9046,158388,0,78874,6401,0.00217944,9415,21916,1373,2453,29970,0,6103,0,0,325,0,159.6,391489,0,28596,6361,4595,23,316176,340,339427,31757
IA,31,6,10,47249,4521,1315,41576,0,0,7237,144344,0,91841,30066,1.64075508,11476,13448,1373,10684,16620,0,4491,1,0,481,0,37.2,397877,0,126286,4676,4729,23,163793,0,339427,29599
IA,31,7,10,47086,4521,843,39138,0,0,7302,132144,0,79342,28382,1.64075508,5680,13879,1373,11016,12084,0,4353,0,0,273,0,32.1,353156,0,117108,7413,3905,23,132367,0,339427,25536
KS,32,0,,240269,3495,91445,253003,0,0,48425,813591,0,465217,79060,,33268,106068,1297,82048,130031,0,5295,0,0,33711,,26.6,2178611,0,320508,43244,29714,19,1328747,0,274514,156187
KS,32,1,10,62381,3495,5681,59885,0,0,13315,203793,0,121865,35482,1.64075508,6781,24923,1297,49718,13397,0,4914,1,1,5896,0,10.9,539592,0,125334,7362,5947,19,233363,0,274514,42239
KS,32,2,10,46745,3495,24021,46709,0,0,10456,154147,0,88772,14091,1.64075508,9975,26809,1297,8903,19361,0,5243,4,3,21647,0,50,445193,0,59793,10458,5163,19,252992,1837,274514,28185
KS,32,3,10,36521,3495,32194,43564,0,0,8084,145166,0,81636,6557,1.64075508,6927,19284,1297,3967,29490,0,6176,1,0,1815,0,95.5,378834,0,30999,10150,5400,19,301371,0,274514,27901
KS,32,4,10,37047,3495,21308,54513,0,0,8739,170535,0,95430,7483,1.64075508,5507,16823,1297,5729,45228,0,5836,2,1,4070,0,77,441409,0,33077,6944,7113,19,352054,252,274514,31965
KS,32,5,11,57575,3495,8241,48332,0,0,7831,139950,0,77514,15447,1.4965488,4078,18229,1297,13731,22555,0,4448,1,0,283,0,27.2,373583,0,71305,8330,6091,19,188967,0,274514,25897
MN,33,0,,354351,6677,22263,396484,0,0,68048,1298965,0,768054,128497,,143878,138897,41287,80009,240222,0,5573,0,0,4863,,42.7,3413864,0,587548,61208,65557,34,2121003,0,442587,241220
MN,33,1,7,43899,6677,238,52566,0,0,8892,165431,0,99394,21080,0.00217944,10661,15678,41287,7312,33300,0,5494,0,0,306,0,60,438835,0,98620,5444,7485,34,226868,0,442587,28040
MN,33,2,7,41915,6677,111,40153,0,0,7269,137852,0,87195,31006,0.00217944,9075,12680,41287,10017,18088,0,4370,0,0,248,0,37.5,375475,0,133209,3230,6157,34,131046,0,442587,25271
MN,33,3,7,20592,6677,332,51349,0,0,11172,161326,0,106800,1611,0.00217944,12299,14953,41287,933,42477,0,7455,1,0,870,0,477.9,445898,0,8784,8151,4484,34,419252,0,442587,36868
MN,33,4,7,45539,6677,8529,59195,1,0,10409,187576,0,102218,975,0.00217944,21447,22648,41287,550,47571,0,6695,2,0,232,0,863.6,474957,0,5609,14489,7812,34,441021,0,442587,33697
MN,33,5,7,64799,6677,11785,64142,1,0,9118,221765,0,82629,100,0.00217944,34448,25475,41287,57,51770,0,6401,0,0,628,0,8471.4,482872,0,0,10905,9621,34,482872,1014,442587,46586
MN,33,6,7,47546,6677,169,42260,0,0,7875,149160,0,104300,33802,0.00217944,11324,15335,41287,14063,16562,0,4054,0,0,209,1,29.9,420235,0,151459,5176,8144,34,112799,1379,442587,25426
MN,33,7,9,45692,6677,142,34952,0,0,6822,135374,0,93046,32689,0.00036324,13033,14253,41287,25987,8989,0,3876,0,0,423,0,14.5,377675,0,145407,5317,8838,34,100886,0,442587,23149
MN,33,8,9,44369,6677,957,51867,0,1,6491,140481,0,92472,7234,0.00036324,31591,17875,41287,21090,21465,0,5192,0,0,1947,0,18.9,397917,46177391,44460,8496,13016,34,206259,0,442587,22183
MO,34,0,,503411,8915,390853,561462,0,0,86166,1639427,0,859677,101414,,77756,166862,705,69138,387735,0,5127,0,0,33840,,62.5,4319813,0,540798,82787,67527,38,2877518,0,560020,297985
MO,34,1,8,39258,8915,132209,66707,1,0,7118,178503,0,95796,227,1.6563744,9967,16279,705,130,58936,0,5832,0,0,268,0,3588.3,466482,0,866,10559,9689,38,455580,0,560020,27788
MO,34,2,8,37854,8915,18236,56365,0,0,11584,194757,0,111819,545,1.6563744,16403,16815,705,406,57539,0,7604,0,0,331,0,1248.4,506854,0,2125,8380,4459,38,464992,0,560020,39489
MO,34,3,8,64165,8915,80398,70308,1,0,6928,207243,0,75442,53,1.6563744,20554,18720,705,22,61185,0,5670,2,0,447,0,21828.3,480222,0,0,11211,9155,38,480222,513,560020,35719
MO,34,4,10,42425,8915,23750,56532,1,0,9661,156381,0,85768,9790,1.64075508,4881,17694,705,5770,36273,0,5493,2,2,6505,0,72.6,418981,0,49003,8412,6856,38,287926,496,560020,29150
MO,34,5,10,49007,8915,67108,45635,1,0,6662,168667,0,61628,146,1.64075508,12143,16213,705,86,34724,0,5793,1,1,743,0,4401.2,378499,0,159,10645,7950,38,374990,0,560020,34140
MO,34,6,10,53683,8915,6008,49674,1,0,7803,149976,0,78286,19714,1.64075508,3292,14414,705,10057,26293,0,4752,0,0,266,0,38.6,388486,0,85535,10078,5186,38,199973,0,560020,28793
MO,34,7,11,62273,8915,3860,54876,0,0,10053,160168,0,89925,18471,1.4965488,2309,15012,705,13002,30016,0,3691,1,0,317,0,33.6,436933,0,104682,7320,6636,38,184840,0,560020,31489
MO,34,8,10,50835,8915,14577,55615,0,0,10680,150262,0,89231,13746,1.64075508,4860,25279,705,15896,29669,0,4137,1,1,24449,0,28.5,452385,0,80293,5242,6552,38,143417,815,560020,24873
MO,34,9,8,60478,8915,12362,56276,0,0,9308,152186,0,80325,24368,1.6563744,2299,14463,705,14709,32752,0,4150,0,0,249,0,27.8,409369,0,112712,6122,5600,38,147719,0,560020,24985
MO,34,10,8,43433,8915,32345,49474,0,0,6369,121284,0,91457,14354,1.6563744,1048,11973,705,9060,20348,0,3170,0,0,265,0,42.1,381602,0,105423,4818,5444,38,137859,202,560020,21559
NE,35,0,,164156,2440,29262,154883,0,0,31722,542658,0,303620,83896,,40238,63927,8396,76612,64137,0,4862,0,0,13769,,18.4,1411330,0,308759,27284,16720,19,766053,0,168183,102537
NE,35,1,10,67203,2440,2916,55299,0,0,11800,203275,0,112628,37845,1.64075508,13140,27053,8396,16954,21916,0,4433,1,1,5597,1,31.3,530507,0,138153,7755,6223,19,250259,248,168183,36759
NE,35,2,10,36717,2440,25712,50483,1,0,10178,157671,0,81776,3582,1.64075508,16898,15983,8396,1510,32081,0,6240,2,1,8057,0,268,404695,0,15082,11401,4657,19,349340,486,168183,30368
NE,35,3,10,60236,2440,634,49101,0,0,9744,181712,0,109216,42469,1.64075508,10200,20891,8396,58148,10140,0,4247,1,0,115,0,8.2,476128,0,155524,8128,5840,19,166454,201,168183,35410
ND,36,0,,58591,1087,777,52511,0,0,11426,226319,0,155997,52106,,29907,28499,152900,69457,7856,0,4530,0,0,4335,,9.1,632446,0,204398,8880,12658,15,222708,0,64758,42975
ND,36,1,9,33725,1087,359,27686,0,0,5879,119680,0,79351,26247,0.00036324,13761,15660,152900,26503,4537,0,4675,1,1,2041,0,12.6,333290,0,103137,4897,6396,15,129459,288,64758,24004
ND,36,2,10,24866,1087,418,24825,0,0,5547,106639,0,76646,25859,1.64075508,16146,12839,152900,42954,3319,0,4365,1,1,2294,0,7,299156,0,101261,3983,6262,15,93249,0,64758,18971
