STATE,SC,CD,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
RI,5,2,1,48445,2127,8170,75425,0,1,9663,179647,0,91701,636,2.84816484,41795,21854,0,832,64369,0,5626,2,0,6755,0,552.5,459706,0,2512,4143,9004,28,385509,393,120678,27648
VT,6,1,1,43741,766,519,56055,0,0,8408,148234,0,87343,8339,2.84816484,23336,16033,0,9276,35385,0,4890,2,1,1069,0,42,389881,0,48845,4988,6638,19,149921,188,47375,24091
DE,11,1,2,35745,1222,60688,59374,0,1,11303,170752,0,94028,3635,1.17290196,14650,16817,0,1978,53360,0,6197,1,1,6949,0,225.6,446292,0,21821,6096,7802,24,292788,294,59296,26543
NJ,12,0,,560414,12553,514875,926670,0,0,129797,2457722,0,1205926,12664,,615479,233090,973,7521,845580,0,6786,0,0,51611,,806.6,6066782,0,51357,102866,112226,32,5374369,0,879723,395251
NJ,12,1,2,49961,12553,56371,93936,0,0,13098,225832,0,122130,2103,1.17290196,29087,20394,973,900,88654,0,6576,0,0,2191,0,650.7,585586,18460229,10821,8528,8886,32,494981,0,879723,36679
NJ,12,2,2,41100,12553,45155,48237,0,1,8704,125020,0,60314,2403,1.17290196,25317,12250,973,1345,29117,0,5288,0,0,2239,1,235.2,316285,0,6192,4086,8395,32,238761,0,879723,23115
NJ,12,3,2,46987,12553,34081,53797,0,1,13777,156912,0,89764,1789,1.17290196,37657,23587,973,1116,32275,0,6166,3,1,11451,0,396.6,442642,0,6968,5826,8181,32,297806,0,879723,28642
NJ,12,4,2,39127,12553,47994,69283,0,0,10919,181677,0,93577,1366,1.17290196,36682,26669,973,1047,58665,0,6601,3,2,32333,0,468.9,490891,0,6835,5639,7101,32,397781,0,879723,26759
NJ,12,5,2,32905,12553,9851,54409,0,0,9275,160272,0,84879,860,1.17290196,33929,18136,973,774,57117,0,7618,1,0,368,0,523.9,405533,0,4528,4429,4997,32,281708,2009,879723,22851
NJ,12,6,2,42673,12553,37972,74021,0,1,9712,210510,0,105129,185,1.17290196,54591,15594,973,103,81834,0,7746,1,0,197,0,4895.7,504255,0,0,7243,7290,32,504255,0,879723,34100
NJ,12,7,2,46694,12553,8373,79748,0,0,13442,220222,0,122297,2823,1.17290196,50570,18170,973,1571,75567,0,7307,0,0,426,0,353.6,555555,0,13730,8036,7968,32,435629,0,879723,38211
NJ,12,8,2,38861,12553,26282,73515,0,0,8037,168275,0,75294,194,1.17290196,59752,11201,973,89,71457,0,6433,0,0,97,0,4430.1,394279,0,0,5642,10009,32,394279,0,879723,26703
NJ,12,9,2,41693,12553,10284,64194,0,1,9813,192503,0,87439,149,1.17290196,58838,13838,973,95,64183,0,7813,0,0,176,0,4748.7,451126,0,0,10495,6439,32,451126,0,879723,33644
NJ,12,10,2,30269,12553,25361,52721,1,0,5316,133957,0,56685,44,1.17290196,38524,10480,973,29,50121,0,6582,0,0,100,0,10482,303979,0,0,5398,6908,32,303979,0,879723,19220
NJ,12,11,2,32101,12553,93496,45060,1,0,5224,134728,0,54895,90,1.17290196,32913,12175,973,24,39649,0,6264,0,0,168,0,12860.8,308660,0,0,4275,8374,32,308660,950,879723,20704
NJ,12,12,2,36977,12553,62116,48584,1,0,5678,154677,0,70439,108,1.17290196,43389,13707,973,85,47213,0,7120,0,0,228,0,4258.7,361993,0,0,5384,7680,32,359107,0,879723,26885
