ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CD,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FIPSTATE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,SC,STATE,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,ID,YEAR,party,candidatevotes,totalvotes,winratio,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
1,60683,18524,11112,52957,8,1,1,8142,224148,0,75665,155,8385,26364,25,1.40810656,67824,32829,27131,40,17174,40072,0,10317,1,0,961,,11852.25,474090,24719452,0,3,MA,7270,7482,8604,27.2,474090,0,53238,40208,1978-MA-8,1978,0,102160,136928,0.746085534,0,133131,178850,0.744372379,0
1,54565,18524,94328,52583,9,1,1,9077,193655,0,103730,293,8711,21804,25,1.40810656,52536,31845,27131,125,16283,36781,0,10144,1,0,752,,3789.44,473680,24719452,141,3,MA,6851,6250,7928,27.2,458705,1111,52609,36820,1978-MA-9,1978,0,106805,116338,0.918057728,0,103901,149371,0.695590175,0
1,47693,18524,2969,79467,10,0,1,11178,199009,0,113430,1557,5314,12394,25,1.40810656,38232,26795,27131,802,14692,70200,0,10747,1,0,1087,,594.8304239,477054,0,2589,3,MA,6789,4026,7267,27.2,334645,0,56969,36593,1978-MA-10,1978,4,102080,166957,0.611414915,4,176604,176691,0.999507615,0
1,54960,18524,10895,64108,11,1,1,11287,200395,0,111826,309,8384,20078,25,1.40810656,41987,32171,27131,130,18266,44533,0,11052,0,0,935,,3659.915385,475789,24719452,60,3,MA,5521,7255,7267,27.2,468924,842,59586,45297,1978-MA-11,1978,0,133644,145722,0.917116153,0,131789,191055,0.689796132,0
1,57556,18524,7718,68346,12,0,1,15254,186951,0,113516,1237,6052,14258,25,1.40810656,38953,26133,27131,1098,16436,46155,1,10132,1,1,4093,1,433.2167577,475672,0,2028,3,MA,3645,4992,8245,27.2,309624,0,58223,39141,1978-MA-12,1978,0,176704,176859,0.999123596,0,222418,222504,0.99961349,0
1,38773,1902,1641,61186,1,0,1,10255,150200,0,84465,1452,8002,9081,33,1.40810656,19134,23388,83,2749,9603,49656,0,9631,3,1,3769,1,133.5303747,367075,0,3412,4,NH,5783,3177,5871,21.2,216052,150,44832,28027,1978-NH-1,1978,0,82697,134235,0.616061385,0,107806,158242,0.681272987,0
1,39673,1902,1026,62776,2,0,0,10130,154513,0,83551,2168,3564,8802,33,1.40810656,17914,18280,83,6278,9149,54892,0,9736,0,0,290,,59.03249442,370606,0,5661,4,NH,5567,2839,4718,21.2,200639,0,45070,26406,1978-NH-2,1978,4,84535,124081,0.681288836,4,100911,166703,0.605334037,0
1,51926,3852,11964,79350,1,0,1,9441,194435,0,102710,801,7620,12662,44,1.40810656,43592,25108,0,278,12080,67240,0,9713,4,0,20483,,1710.219424,475441,0,887,5,RI,5408,4058,7463,27.9,426633,0,57401,35316,1978-RI-1,1978,0,86768,141680,0.61242236,0,116674,187002,0.623918461,0
1,52534,3852,13280,78325,2,0,1,10812,193927,0,103538,780,8922,12814,44,1.40810656,30835,33002,0,771,13322,63613,0,9755,1,0,10116,1,615.151751,474282,0,1475,5,RI,10758,4017,8251,27.9,399377,351,60242,35365,1978-RI-2,1978,0,87397,166122,0.526101299,0,154453,201912,0.764952058,0
2,40932,25333,59981,75731,1,0,0,12847,188482,0,116345,1786,9049,16036,34,2.32414784,16561,26406,17109,508,13631,57233,0,10314,0,0,1418,,940.9488189,478002,27132019,4019,12,NJ,3726,7695,7945,31.2,410179,0,57945,36550,1978-NJ-1,1978,0,106096,133620,0.794012872,0,136624,194898,0.701002576,0
2,69652,25333,62752,70442,2,0,1,13792,182652,0,104790,3351,5943,12688,34,2.32414784,26103,27879,17109,2375,16640,45461,0,9039,3,1,3372,1,201.3162105,478126,0,6891,12,NJ,5296,5659,10053,31.2,311474,0,55439,36220,1978-NJ-2,1978,0,112768,169765,0.664259417,0,141753,229668,0.617208318,0
