,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CD,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FIPSTATE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,SC,STATE,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,ID,party,candidatevotes,totalvotes,winratio,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
260,5,-0.964029487,0.010145746,0.399262041,1.178672727,2,0,0,-0.752359317,-1.39156327,0,1.5418692509999998,0.502723189,0.090375216,8513,13,0.003205313,0.002158947,-0.71371379,28709,10108,-1.170455397,-0.317974095,0,-1.347469,0.153846154,0.2,0.09378082800000001,0,-0.34383710100000003,0.178061505,0.0,0.329289592,44,GA,-0.37983113799999996,-1.5084381869999999,0.051167196,-0.680704042,-0.7794586379999999,0.07520769599999999,0.005883197,-1.115044115,1978-GA-2,0,-1.809145622,-2.182784561,2.2194228,0,-0.41150910799999996,-1.29469279,2.230002959,0
261,5,-1.308416851,0.010145746,0.346951368,1.099160958,3,0,0,-0.911819849,-1.775755718,0,1.186035852,0.130243114,0.254755627,8900,13,0.003205313,0.015676508000000002,0.189024451,28709,6035,-1.0490326220000001,-0.158981223,0,-1.2325780640000001,0.076923077,0.2,0.455721881,0,-0.339866182,0.17847959100000002,0.0,0.08996417400000001,44,GA,-0.6801800509999999,-1.58994004,0.071620873,-0.680704042,-0.207165093,0.0,0.014608963,-1.763659785,1978-GA-3,0,-1.4711917190000001,-1.962879221,2.219625153,0,-0.482803655,-1.136627746,1.458174134,0
262,5,-1.668237705,0.010145746,0.157167501,0.45374304299999996,4,1,0,-0.18459998100000002,-0.14914570800000002,0,1.323253419,0.009570816,0.157911931,24453,13,0.003205313,0.021341472,-0.12486762,28709,403,-0.60515671,-0.579306319,0,-0.864786955,0.0,0.0,0.008883918000000001,0,-0.202723753,0.176530385,0.0,0.004384637,44,GA,-0.473461676,0.219638841,0.03608015,-0.680704042,0.784628388,0.240489725,0.01150877,1.275560825,1978-GA-4,0,-1.326812424,-1.6215094819999998,0.8933313940000001,0,-0.020133722,-0.143518698,0.030091291000000003,0
263,5,-0.946908526,0.010145746,0.479966921,0.7652503740000001,5,0,0,-0.562514789,-0.122045585,0,0.548027167,0.01665708,0.151180766,23925,13,0.003205313,0.019581223999999998,-0.00891499,28709,283,-0.34839425,-0.585549377,0,-1.101224096,0.153846154,0.4,0.018851845,0,-0.139834547,0.178255866,0.0,0.004682541,44,GA,-0.37471556899999997,0.408533085,0.123046114,-0.680704042,0.937964875,0.0,0.011269227,0.44643820000000006,1978-GA-5,0,-1.5284303730000002,-1.702161147,0.516313175,0,-0.404766859,-0.448962055,-0.08415701800000001,0
264,5,-1.350072978,0.010145746,0.20997444699999998,2.395416643,6,0,0,0.103493525,-0.48269174200000003,0,1.214276181,0.065397989,0.11619885699999999,13243,13,0.003205313,0.005319178000000001,-0.458167803,28709,3808,-0.8405002859999999,0.53438725,0,-1.080732877,0.0,0.0,0.019242514,0,-0.334275753,0.171573473,0.0,0.070249534,44,GA,-0.439003145,2.810059823,0.056272004,-0.680704042,-0.549533003,0.0,0.007637675,-0.5431302370000001,1978-GA-6,4,-1.679703959,-1.412368131,-0.947634615,0,-0.9063468809999999,-0.34542223200000005,-1.130848935,1
265,5,-1.3690636390000002,0.010145746,0.079187798,2.640680497,7,0,0,-0.136917068,-0.483010218,0,1.073078842,0.053838040999999996,0.080721766,12483,13,0.003205313,0.00734987,-1.0607495359999999,28709,3257,-1.2256493259999999,1.8661519180000001,0,-1.173643917,0.153846154,0.2,0.01508956,0,-0.331494789,0.177565115,0.0,0.06905847700000001,44,GA,-0.827158128,-0.740104951,0.081474823,-0.680704042,-0.737057381,0.0,0.008255852,-0.787252781,1978-GA-7,0,-1.679383295,-1.685623904,-0.10809111800000001,0,-0.715316485,-0.281865225,-0.894587282,0
266,5,-0.8744473970000001,0.010145746,0.336304774,1.6483996969999999,8,0,0,-0.555861359,-1.125231283,0,1.2682426709999999,0.283393186,0.17653674800000002,8896,13,0.003205313,0.002392568,0.282359837,28709,11096,-0.900605632,-0.113436348,0,-1.2951025520000001,0.153846154,0.2,0.0059662790000000005,1,-0.344387499,0.17477134600000002,0.0,0.26270718,44,GA,0.210406638,-0.723948163,0.064367802,-0.680704042,-0.548749284,0.204634893,0.006469734,-1.4468054519999998,1978-GA-8,0,-1.837203786,-2.200921622,2.2182341130000003,0,-0.5536108120000001,-0.6932780070000001,0.117562659,0
267,5,-1.093834814,0.010145746,0.06817425,3.323769431,9,0,1,0.363420846,-0.5980832739999999,0,0.830578721,0.186581656,0.044523324,9243,13,0.003205313,0.000764305,-1.262142793,28709,6560,-1.5401934430000002,1.980460902,0,-1.223208147,0.0,0.0,0.0038738759999999996,0,-0.340722939,0.173582806,0.0,0.178506768,44,GA,-0.576512402,-1.210522989,0.031891092999999995,-0.680704042,-1.928223356,0.0,0.186082875,-1.394246354,1978-GA-9,0,-1.674733656,-1.848892229,0.617352871,0,0.06066496,-0.46139176299999995,0.777211579,0
268,5,-1.163905542,0.010145746,0.356068999,1.6492987369999998,10,0,1,-0.436321406,-1.436234784,0,0.984673073,0.127119679,0.118093636,8413,13,0.003205313,0.013186072,0.238548139,28709,6905,-1.386933318,0.18614861100000002,0,-1.2538574059999998,0.153846154,0.2,0.28521267,0,-0.34110514,0.17859145399999998,0.0,0.112662151,44,GA,1.076060436,-1.426965221,0.046765442000000004,-0.680704042,-0.715411175,0.5500655879999999,0.011221178,-1.6387388230000002,1978-GA-10,0,-1.598362006,-2.04551327,2.21864323,0,-0.439263347,-1.315150752,2.239905798,0
269,8,-1.239494622,0.016033089,0.338307466,0.6293785820000001,1,1,1,-0.43476893899999997,-1.522333933,0,1.8457607719999998,0.015780048999999997,0.101556176,14229,22,0.087850501,0.032740997,-0.46300639299999996,7188,2608,-0.614056823,-1.139327493,0,-1.1358139740000002,0.23076923100000002,0.2,0.022422392000000003,0,-0.32721980100000003,0.17026328300000002,0.068565082,0.011646978,45,LA,-0.440346151,0.726820837,0.151652898,-0.480722185,0.569256233,0.0,0.008331877,-0.727156393,1978-LA-1,4,-2.937698418,-2.917222489,2.219751717,0,-1.336334506,-0.6867286429999999,-1.444482807,1
