Feature,Mean accuracy,S.D. accuracy,Mean TP,S.D. TP,Mean FN,S.D. FN,Mean FP,S.D. FP,Mean TN,S.D. TN,Mean precision,S.D. precision,Mean recall,S.D. recall,Mean f1,S.D. f1,Mean auc,S.D. auc
ACEREGIO,0.8717811158798283,0.006828284367681273,789,1.4142135623730951,52,7.0710678118654755,67,0.0,23,7.745966692414834,0.9211905255237244,0.0008906403911388656,0.9382081174133433,0.007784478360848684,0.9296114752778448,0.003367848241381606,0.5967875032184969,0.03472363855417379
AGE65,0.8760729613733906,0.014415266998438217,791,11.313708498984761,52,9.899494936611665,63,3.4641016151377544,25,2.0,0.9256656257704001,0.004814183320018499,0.9383056027738064,0.011846671399633897,0.9319363351407479,0.008283179068754842,0.6125240135081154,0.020119040019092337
BANK,0.8492489270386266,0.002276094789227091,771,5.656854249492381,61,0.0,79,2.0,20,3.4641016151377544,0.9065195812780641,0.0028828025085148503,0.9266809976192127,0.0004985034978200912,0.9164886228594118,0.00171708132994359,0.5655039603480679,0.011649179665286783
