STATE,FIPSTATE,SC,CD,REDIST,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
NJ,34,12,2,1,2,120438,41732,73067,39546,0,1,14496,233545,0,97972,4141,6213,11184,16.53,23465,42851,36417,2081,26604,43294,0,18741,1,0,1706,1,252.8164344,526111,,4410,10034,7575,22121,19.9,378300,0,68610,41383
NJ,34,12,3,1,2,122994,41732,40977,28663,0,1,12304,233191,0,95482,1586,12783,15403,16.53,34622,42839,36417,241,24918,35227,0,21948,1,1,3323,,2182.746888,526042,,82,5138,10637,17261,19.9,512312,0,73903,48379
NJ,34,12,4,1,2,92690,41732,69522,35407,0,0,10524,248933,0,96952,2656,7646,13403,16.53,34671,56859,36417,433,24593,52327,0,23704,1,1,1190,,1215.011547,526100,,3159,24620,9263,15567,19.9,402300,0,69635,40631
NJ,34,12,5,1,2,84886,41732,4969,27072,0,0,12900,262295,0,102988,2116,4834,19007,16.53,47083,32674,36417,1322,23276,56170,0,28936,0,0,207,,397.919062,526049,,1168,4564,11584,11994,19.9,450989,0,75264,57656
NJ,34,12,6,1,2,82502,41732,44739,51183,0,1,10270,270390,0,86255,1228,6068,15384,16.53,50297,39888,36417,171,23900,75348,0,24566,0,0,312,,3076.461988,526075,,0,9920,15365,16142,19.9,522337,0,73557,53109
NJ,34,12,7,1,2,102663,41732,58909,44050,0,0,10547,269278,0,90211,1337,5836,19809,16.53,71070,34026,36417,341,22267,73395,0,26596,0,0,160,,1542.744868,526076,,46,5923,11882,14133,19.9,516614,0,69895,49226
NJ,34,12,8,1,2,108595,41732,72286,51039,0,0,9250,259066,0,87365,909,5791,16706,16.53,75872,34496,36417,181,22323,76797,0,21748,1,0,110,,2906.171271,526017,,0,6382,10649,17841,19.9,526017,0,61708,46048
NJ,34,12,9,1,2,117640,41732,29529,40441,0,1,10314,280182,0,69450,1162,6511,19179,16.53,83523,34258,36417,105,22656,65574,0,24613,0,0,112,,5011.580952,526216,,0,5091,17134,15135,19.9,526216,0,72929,62292
NJ,34,12,10,1,2,84899,41732,304305,56239,0,0,7278,222856,0,106166,593,10041,14487,16.53,73708,41912,36417,39,22397,55877,0,14215,0,0,272,,13486.05128,525956,,0,9474,13279,25107,19.9,525956,859,43983,29693
NJ,34,12,11,1,2,82185,41732,9785,27871,0,1,11997,270446,0,102252,1714,7453,24014,16.53,45240,37281,36417,154,24813,61836,0,29464,0,0,293,,3416.396104,526125,,713,5015,9257,10708,19.9,463087,0,72883,52758
NJ,34,12,12,1,2,77330,41732,27803,35227,0,0,12048,265181,0,102084,3756,5122,16391,16.53,40103,39140,36417,891,22853,67722,0,27473,0,0,77,,590.4287318,526072,,6796,11165,9824,11102,19.9,323826,1168,71874,43632
NJ,34,12,13,1,2,108138,41732,40717,25557,0,1,12007,221495,0,101539,1777,10923,14201,16.53,31246,39751,36417,967,21771,39118,0,22419,3,2,16520,1,543.9948294,526043,,1356,7057,9241,15404,19.9,402359,0,74861,45591
NJ,34,12,14,1,2,106234,41732,69613,61364,0,1,6458,247050,0,77165,573,8934,17625,16.53,128683,38436,36417,34,23190,66362,0,17288,1,0,1001,,15468,525912,,0,6312,21708,22027,19.9,525912,0,51349,41746
NY,36,13,1,1,2,87951,326416,20450,25317,0,1,12008,218950,0,119517,3961,9285,11928,16.53,37253,50745,28662,633,29690,31081,0,22292,0,0,393,1,815.7661927,516380,,525,11770,10711,14689,35.8,471537,0,67753,42582
NY,36,13,2,1,2,65070,326416,44296,39264,0,1,11012,235521,0,121213,2237,7417,14560,16.53,38548,45255,28662,166,25781,49800,0,23647,0,0,119,,3104.873494,515409,,0,12057,16404,14768,35.8,514744,0,68541,44381
NY,36,13,3,1,2,85360,326416,14151,21139,0,1,10550,251397,0,98511,2437,4817,21740,16.53,53680,39653,28662,222,27852,43085,0,30714,0,0,163,,2327.567568,516720,,8,6984,10334,10727,35.8,510398,778,73258,50386
NY,36,13,4,1,2,67095,326416,19079,27479,0,1,10733,260935,0,100981,1548,5573,22494,16.53,41339,43340,28662,96,32581,43424,0,28341,0,0,164,,5381.635417,516637,,0,5186,15166,12035,35.8,516637,0,79571,58271
NY,36,13,5,1,2,100698,326416,63216,24926,0,1,9400,250185,0,88146,1947,6499,22679,16.53,55447,42944,28662,75,31585,34524,0,26817,0,0,482,,6891.533333,516865,,0,4860,17065,12230,35.8,516865,0,73136,53390
NY,36,13,6,1,2,100241,326416,259549,34172,1,1,5976,226672,0,92991,866,11366,24010,16.53,92394,49741,28662,41,31232,30309,0,19664,0,0,177,,12600.36585,516615,152053796,0,7143,24496,17244,35.8,516615,0,56228,33182
NY,36,13,7,1,2,130060,326416,61260,32231,1,1,5902,259817,0,58681,717,7880,28261,16.53,180041,34988,28662,22,21408,46218,0,21011,0,0,190,,23481.59091,516595,152053796,0,5700,17960,15277,35.8,516595,0,51014,50316
NY,36,13,8,1,2,130685,326416,52127,26183,1,1,8319,247447,0,62122,665,8690,25185,16.53,116962,41215,28662,36,26909,36833,1,21860,0,0,354,,14324.11111,515668,152053796,0,5616,17146,13837,35.8,515668,0,61332,50740
NY,36,13,9,1,2,140279,326416,19706,39217,1,1,8682,246900,0,51765,641,7058,28855,16.53,183579,27537,28662,21,17181,48804,0,18480,0,0,76,,24562,515802,152053796,0,3298,17202,15813,35.8,515802,0,51204,51018
NY,36,13,10,1,2,137757,326416,26207,26179,1,1,6508,233947,0,57243,508,7224,29979,16.53,110798,40608,28662,23,27752,33910,0,19701,0,0,199,,22445.6087,516249,152053796,0,5632,15587,15389,35.8,516249,0,58283,46610
NY,36,13,11,1,2,61129,326416,244985,39003,1,0,4151,173531,0,121510,394,6657,15584,16.53,82789,32767,28662,15,21143,37805,0,9519,0,0,144,,34406.6,516099,152053796,0,4967,10798,22636,35.8,516099,0,30930,22380
NY,36,13,12,1,2,61761,326416,413677,33081,1,0,4505,218292,0,106457,332,9178,25220,16.53,170612,47308,28662,11,29868,30916,0,12690,0,0,293,,46936.36364,516300,152053796,0,8262,14135,22691,35.8,516300,0,30226,25516
NY,36,13,13,1,2,137211,326416,37977,34183,1,1,6043,205609,0,61794,602,6789,26191,16.53,131451,30365,28662,17,19184,41061,0,15492,2,1,971,,30449.88235,517648,152053796,0,4392,13694,16428,35.8,517648,847,46626,35665
NY,36,13,14,1,2,107138,326416,26545,25976,1,1,8563,224523,0,72516,852,8373,37257,16.53,69837,44172,28662,64,28393,24846,0,22081,0,0,505,,8074.390625,516761,152053796,0,7406,17635,12484,35.8,516761,0,63815,36037
NY,36,13,15,1,2,125330,326416,27071,20527,1,1,3167,308535,0,30984,383,8955,36777,16.53,130678,30574,28662,7,17217,47813,0,24237,0,0,2492,,73773.42857,516414,152053796,0,4402,11603,15902,35.8,516414,838,57659,52413
NY,36,13,16,1,2,109537,326416,252096,36827,1,0,3320,202238,0,84180,683,7251,15434,16.53,124533,36099,28662,8,23015,37167,0,10720,0,0,198,,64521.25,516170,152053796,0,5833,10257,22671,35.8,516170,0,36619,28376
NY,36,13,17,1,2,130254,326416,82001,20832,1,0,4144,299529,0,36073,444,7193,27278,16.53,123983,37688,28662,13,23513,39784,0,20688,0,0,214,,39721.38462,516378,152053796,0,6982,10977,20144,35.8,516378,656,53020,43865
NY,36,13,18,1,2,57554,326416,226410,32701,1,0,3624,161222,0,124835,504,7062,13431,16.53,71630,32167,28662,13,20766,30899,0,8434,0,0,461,,39776,517088,152053796,0,4339,8966,21888,35.8,517088,0,28551,23495
NY,36,13,19,1,2,145097,326416,67639,29797,1,1,9558,230333,0,59646,866,8592,22064,16.53,108822,41087,28662,32,27371,34180,0,19056,0,0,143,,16165.125,517284,152053796,0,5124,14041,14669,35.8,517284,0,56923,42976
NY,36,13,20,1,2,111630,326416,80245,24481,0,0,10092,260062,0,83269,2217,6185,19964,16.53,79767,38293,28662,171,27020,44361,0,27416,0,0,119,,3020.116959,516440,,0,5088,10011,10572,35.8,505308,0,65069,49881
NY,36,13,21,1,2,84379,326416,33795,29058,0,0,11260,235417,0,107767,2398,9440,12312,16.53,39317,44537,28662,1154,23055,52244,0,24546,1,0,6252,1,447.830156,516796,,1546,12042,9302,13286,35.8,342351,1483,72070,41503
NY,36,13,22,1,2,84519,326416,35225,26757,0,0,10626,245518,0,103813,2730,4574,14264,16.53,52851,47657,28662,1319,30668,43122,0,25590,0,0,175,,391.6906748,516640,,2353,12415,9577,12157,35.8,405484,0,67326,47295
NY,36,13,23,1,2,119186,326416,27017,29851,0,0,8397,245270,0,79899,2008,8059,12508,16.53,30145,67106,28662,798,21736,37484,0,20347,2,0,434,,647.7982456,516943,,1530,37311,8430,14940,35.8,458590,618,68594,43879
NY,36,13,24,1,2,99446,326416,7707,36575,0,0,11180,231077,0,110387,6640,5865,9682,16.53,20251,48338,28662,4810,22837,46397,0,19300,0,0,1637,,107.1891892,515580,,9371,19636,8444,18070,35.8,190216,0,70193,41397
NY,36,13,25,1,2,110083,326416,9192,38297,0,0,8936,224320,0,101811,10481,6224,8880,16.53,19168,44575,28662,5301,23032,50714,0,17339,1,1,3792,,97.3759668,516190,,18921,15319,5706,17793,35.8,234812,0,64365,38378
NY,36,13,26,1,3,100606,326416,3885,39026,0,0,8884,211243,0,108307,11333,5832,6042,1.17,18336,44104,28662,13410,23957,44916,1,16291,2,2,4573,,38.49336316,516196,,21628,14315,5591,23556,35.8,193456,0,62600,34808
NY,36,13,27,1,3,89492,326416,30510,35493,0,0,9194,243293,0,98874,3255,6075,15971,1.17,26467,40225,28662,1339,23664,51572,0,20964,1,0,1192,,385.6348021,516365,,5185,10486,8572,17107,35.8,400167,334,65193,48067
NY,36,13,28,1,2,101676,326416,14415,37350,0,0,9716,237793,0,96716,4288,3909,8910,16.53,29093,41314,28662,3542,23461,61425,0,18999,0,0,196,,145.7970073,516413,,6480,13944,6273,15609,35.8,269476,0,67200,42191
NY,36,13,29,1,3,95078,326416,23295,42665,0,0,9192,235867,0,102917,6285,4485,9244,1.17,23048,38588,28662,3148,23047,68634,0,20497,1,0,894,1,163.6238882,515088,,12909,11056,5948,19756,35.8,265694,0,63532,37231
NY,36,13,30,1,3,88723,326416,25280,43078,0,0,7855,251798,0,98203,3701,3936,10599,1.17,31034,30762,28662,1348,20465,86968,0,24034,0,0,173,1,383.4836795,516936,,5979,6361,5601,13710,35.8,373552,211,65523,45067
NY,36,13,31,1,3,89585,326416,6341,36642,0,0,10499,237748,0,103376,5647,5489,11175,1.17,22244,42247,28662,2537,22365,52690,0,22500,0,0,162,,203.4469846,516145,,11262,14393,8615,18045,35.8,315870,1009,68680,47745
NY,36,13,32,1,3,97731,326416,43967,49142,1,0,8255,243570,0,94559,3272,4768,8876,1.17,31544,35528,28662,1038,21879,74163,0,21004,1,0,521,,497.8680154,516787,,5703,8881,7238,20972,35.8,412447,0,68144,44936
NY,36,13,33,1,3,113245,326416,98544,48323,1,0,5878,228989,0,81221,751,6876,10665,1.17,29087,37818,28662,138,20564,57429,0,17724,0,0,297,,3741.130435,516276,,20,10378,10325,26238,35.8,504820,737,65494,43378
NY,36,13,34,1,3,107804,326416,7958,45320,0,0,8827,225276,0,105032,9497,4684,6257,1.17,12210,38514,28662,5813,23800,62572,0,17360,0,0,196,,88.80010322,516195,,19689,10030,6659,18723,35.8,224833,208,69087,39175
PA,42,14,1,0,2,105294,98577,164894,37716,1,0,6317,194171,0,72513,464,10112,12065,16.53,38197,30848,34405,33,16298,38995,0,13104,3,1,3639,,15612.78788,515222,32690108,0,4438,8628,25639,27,515222,419,52915,31498
PA,42,14,2,0,2,112087,98577,414005,35567,1,0,5482,213528,0,90845,492,14172,11861,16.53,18317,46595,34405,29,25830,31463,0,13800,0,0,429,,17828.10345,517015,32690108,0,6593,9977,30072,27,517015,0,56419,27688
PA,42,14,3,0,2,130611,98577,38968,36473,1,0,8945,234261,0,48630,580,13194,16387,16.53,41577,37583,34405,50,20854,48774,0,20187,1,0,263,,10322.38,516119,32690108,0,3535,11200,19938,27,516119,0,72857,49199
PA,42,14,4,0,4,98238,98577,13989,53133,0,0,10152,216465,0,98164,4338,5379,6767,21.93,11280,27769,34405,2672,14730,61206,0,20300,0,0,150,,192.9318862,515514,,8352,7660,10347,18220,27,217716,272,70432,37953
PA,42,14,5,0,2,80664,98577,57483,44259,0,0,11522,250588,0,89841,4044,5951,14246,16.53,18113,30020,34405,700,17330,75757,0,23967,0,0,273,1,736.48,515536,27417581,3733,6739,8102,13292,27,362827,1044,70744,43681
PA,42,14,6,0,2,122567,98577,8035,70947,0,0,11018,242299,0,85683,5067,4203,9305,16.53,11169,26890,34405,1838,15789,88803,0,18989,0,0,192,,280.7176279,515959,,11740,6898,7900,14881,27,277087,0,73353,40839
PA,42,14,7,0,2,111637,98577,30343,28555,1,0,11419,244969,0,66035,1232,11638,19782,16.53,27415,31318,34405,140,15838,48852,0,23124,1,0,508,,3684.264286,515797,32690108,50,3842,12211,14118,27,513253,0,74902,48782
PA,42,14,8,0,2,68248,98577,12195,42890,0,0,12928,255807,0,94719,2484,8146,14306,16.53,19752,29823,34405,626,16972,72317,0,24608,1,0,1138,,825.8482428,516981,,2750,4705,9268,13751,27,423792,0,74834,51388
PA,42,14,9,0,2,103533,98577,4641,60445,0,0,11200,222230,0,101095,8596,12882,6371,16.53,5118,38334,34405,5584,16047,60198,0,17403,1,0,527,,92.31876791,515508,,19106,9405,13690,17927,27,154487,109,65472,35831
PA,42,14,10,0,2,120468,98577,2154,54556,0,0,10608,223924,0,93675,7589,6501,7891,16.53,12840,32202,34405,7042,16627,61972,0,16905,1,0,270,,73.19483101,515438,,14618,9074,8730,19362,27,231987,0,71319,38299
PA,42,14,11,0,2,134345,98577,2690,59865,0,0,11746,223779,0,81784,2495,7702,7967,16.53,12613,32507,34405,2523,15465,66376,0,16779,1,0,490,1,204.3892192,515674,,5208,9340,6959,19776,27,332703,648,75850,38901
PA,42,14,12,0,4,101808,98577,6077,48201,0,0,9074,216038,0,94050,3106,3808,7690,21.93,9552,25954,34405,2290,15554,55918,0,19689,0,0,176,,225.2598253,515845,,5540,6592,8948,19907,27,279279,0,72666,39200
PA,42,14,13,0,2,119075,98577,32501,29299,1,0,10549,258494,0,64505,1555,6649,18578,16.53,33859,29544,34405,239,18282,57412,0,26012,1,1,577,,2152.242678,514386,32690108,426,4613,7074,12282,27,494664,0,73355,52250
PA,42,14,14,0,4,134275,98577,112296,34203,1,0,10368,231676,0,61824,838,8101,13309,21.93,26175,33737,34405,79,19724,34278,0,17828,1,0,231,,6539.607595,516629,28551728,0,5912,11337,20495,27,516629,1379,70910,45521
PA,42,14,15,0,2,105147,98577,8007,64243,0,0,10395,248662,0,86876,2564,3146,9723,16.53,21220,23484,34405,921,16399,95055,0,21537,0,0,196,,559.4994571,515299,,4558,3939,7896,13206,27,379209,0,73609,42369
PA,42,14,16,0,2,95373,98577,10513,62523,0,0,13265,251237,0,91347,10862,5118,8710,16.53,10030,26552,34405,1551,14998,83208,0,20608,1,0,375,,331.7762734,514585,,28265,6436,8473,10894,27,254614,825,61916,46013
PA,42,14,17,0,2,101752,98577,34122,54994,0,0,10741,241497,0,94285,4954,10300,11082,16.53,8579,46523,34405,3366,15657,59227,0,18846,0,0,375,1,153.2703506,515908,,13244,20566,11911,16281,27,278544,0,68269,42320
PA,42,14,18,0,4,95086,98577,11965,28366,0,0,13959,247680,0,91155,915,6311,17541,21.93,16718,27901,34405,357,17777,46985,0,25677,0,0,336,,1445.686275,516110,,424,3813,12352,13037,27,488815,0,79783,53846
PA,42,14,19,0,4,94432,98577,12042,63083,0,0,12766,255831,0,96645,5258,10289,11435,21.93,8668,34560,34405,1608,15288,79994,0,21065,3,0,1254,1,321.2717662,516605,,12151,8983,11108,11554,27,278777,0,69925,48737
PA,42,14,20,0,4,114198,98577,28864,47174,0,0,9694,225681,0,84514,866,4274,10129,21.93,16326,23236,34405,464,15567,65183,0,20738,0,0,226,,1111.984914,515961,,803,3395,8938,17703,27,449640,0,78533,45513
PA,42,14,21,0,4,97079,98577,18783,52148,0,0,8169,229349,0,92245,4400,3970,8617,21.93,11914,26300,34405,2588,16155,73524,0,19601,0,0,237,,199.6271252,516635,,11861,6175,8782,18082,27,291968,138,68631,39418
PA,42,14,22,0,4,110010,98577,17694,49381,0,0,11702,207467,0,95220,2314,3753,6559,21.93,13090,27488,34405,2422,16017,52561,0,19828,0,0,188,1,212.6763006,515102,,5881,7718,9106,18762,27,255554,0,73783,36248
PA,42,14,23,0,4,99328,98577,3057,54348,0,0,8143,222976,0,95275,4859,4087,6404,21.93,8494,39411,34405,7770,15729,62779,0,18450,0,0,241,,66.41788932,516067,,9473,19595,8073,17929,27,190911,0,67098,37182
IL,17,21,1,0,7,86311,130219,477789,34239,1,1,3269,209734,0,103788,399,14899,13111,6.9,13031,51183,40,32,27029,32501,0,14017,0,0,224,,16217.0625,518946,22610102,0,9255,16323,28574,27.5,518946,0,50601,26694
IL,17,21,2,0,7,56896,130219,364920,51687,1,1,5928,223943,0,115205,623,12449,13336,6.9,26450,40486,40,68,21304,54520,0,20074,0,0,241,,7640.676471,519566,22610102,0,6733,18404,29348,27.5,519566,0,52971,32461
IL,17,21,3,0,7,105727,130219,29199,43714,1,0,12388,254989,0,70805,780,4571,19181,6.9,39202,33537,40,105,25123,55022,0,25756,0,0,91,,4940.514286,518754,22610102,0,3843,17997,14723,27.5,518078,0,72393,55431
IL,17,21,4,0,7,69840,130219,57771,50107,0,0,11564,249910,0,99909,1412,4837,13748,6.9,26114,28445,40,204,17747,69386,0,25510,1,0,174,,2540.529412,518268,,2268,5861,12546,17980,27.5,476370,460,66960,48965
IL,17,21,5,0,7,98295,130219,17921,66365,1,0,8698,244091,0,73863,1071,4165,14955,6.9,109490,21572,40,75,14299,77003,0,20773,0,0,152,,6923.12,519234,22610102,0,3108,16672,21051,27.5,518743,0,58297,50820
IL,17,21,6,0,7,61516,130219,4168,35864,0,0,14924,283827,0,98632,846,5228,19323,6.9,44246,25329,40,162,16847,71044,0,29491,0,0,144,,3204.154321,519073,,0,3254,17239,10503,27.5,519073,0,69444,66625
IL,17,21,7,0,7,71604,130219,346872,43882,1,1,4350,212010,0,115489,590,9774,13497,6.9,29850,33789,40,39,16531,47815,0,16074,0,0,234,,13309,519051,22610102,0,7484,12674,25647,27.5,519051,469,43613,32741
IL,17,21,8,0,7,102917,130219,22465,64789,1,0,8361,240968,0,76264,706,4801,14497,6.9,115116,22444,40,33,14283,82525,0,18433,0,0,67,,15725.15152,518930,22610102,0,3360,10541,19261,27.5,518930,0,48330,44564
IL,17,21,9,0,7,114975,130219,50872,27913,1,1,7533,301964,0,55763,796,6250,32195,6.9,100415,31340,40,44,18175,51485,0,25207,1,1,318,,11800.15909,519207,22610102,0,6915,10640,14834,27.5,519207,0,57012,58036
IL,17,21,10,0,7,65215,130219,29428,27724,0,1,10329,257446,0,100269,1863,8093,22240,6.9,40959,29733,40,233,18062,59642,0,31471,4,1,20388,1,2229.416309,519454,,58,3578,8819,10091,27.5,513227,1063,68743,55150
IL,17,21,11,0,7,138527,130219,2123,44938,1,0,11907,276103,0,52727,710,4406,22728,6.9,115619,30291,40,71,21837,72119,0,25126,1,0,188,,7312.056338,519156,22610102,0,4048,12540,12861,27.5,519156,0,65994,57498
IL,17,21,12,0,7,56215,130219,3797,39156,0,0,15492,271982,0,109736,3236,4725,18823,6.9,32089,25591,40,966,17438,75368,0,27476,0,0,606,,537.3022774,519034,,4650,3428,14900,13279,27.5,416340,0,69060,58048
IL,17,21,13,0,7,71664,130219,7883,29449,0,0,12940,270236,0,95363,1206,6771,21073,6.9,34915,27944,40,591,17291,60797,0,30638,0,0,167,,878.8375635,519393,,544,3882,14221,10019,27.5,496978,1165,71950,60029
IL,17,21,14,0,7,80307,130219,9882,48869,0,0,13389,260963,0,102132,6236,4480,13675,6.9,22807,33930,40,2806,18250,71582,0,25376,0,0,75,1,186.1568068,522356,,18754,11200,10381,15034,27.5,389611,0,65855,49676
IL,17,21,15,0,7,90328,130219,29460,44839,0,0,13189,241338,0,98883,13194,4790,15350,6.9,8823,35984,40,7477,15901,50783,0,21740,1,1,7131,1,69.40564397,518946,,42188,15293,9462,16519,27.5,286967,0,62667,46541
IL,17,21,16,0,7,93819,130219,24733,59859,0,0,10806,254087,0,103956,10770,3649,11429,6.9,14069,26641,40,4539,17401,88703,0,22143,1,0,123,1,114.3500771,519035,,32971,5591,8268,16108,27.5,332838,0,64659,43526
