STATE,SC,CD,REDIST,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
IL,21,9,0,7,56316,31030,5112,48787,1,1,6485,236338,0,57871,19,0.00217944,72836,13406,0,14,57104,0,6873,3,0,316,0,32217.28571,451042,45973244,0,9402,9337,38,451042,504,-6,43870
IL,21,10,0,7,33317,31030,5976,42080,0,0,9141,182169,0,93141,87,0.00217944,31737,14246,0,97,65842,0,8718,1,0,277,0,4469.041237,433497,0,76,8686,4106,38,432084,2582,-6,33754
IL,21,11,0,7,52841,31030,1454,51076,1,0,10696,208767,0,79865,34,0.00217944,69047,15617,0,34,72548,0,7984,0,0,182,0,13274.17647,451322,45973244,0,8922,5462,38,451322,0,-6,41142
IL,21,12,0,7,27502,31030,11985,52332,0,1,10030,144363,0,86098,2289,0.00217944,22903,14914,0,1139,46415,0,7483,6,1,20809,0,346.5443371,394714,0,13677,4182,4403,38,275664,2487,53469,24132
IL,21,13,0,7,26719,31030,10687,30935,0,1,8678,155544,0,90765,463,0.00217944,25783,11744,0,213,41220,0,9711,1,0,1353,0,1911.042254,407052,0,1667,3942,2265,38,386171,0,-6,31599
IL,21,14,0,7,28460,31030,12434,56208,1,0,10012,165863,0,100794,819,0.00217944,22135,14017,0,442,54688,0,8013,1,0,318,0,993.6244344,439182,45973244,4461,8999,4588,38,383238,0,-6,28668
IL,21,15,0,7,41193,31030,5478,69766,0,0,8586,166210,0,84750,7873,0.00217944,16795,14724,0,3057,61437,0,6621,0,0,469,1,134.3310435,410650,0,37288,5864,5615,38,288303,0,56740,26697
IL,21,16,0,7,39299,31030,10972,64177,0,0,7250,159075,0,84377,10888,0.00217944,15231,11858,0,3917,57825,0,6088,1,0,100,0,100.7099821,394481,0,47978,4353,5702,38,260686,0,49206,25915
IL,21,17,0,7,47822,31030,15754,58150,0,0,8758,160193,0,89800,13851,0.00217944,9715,18635,0,6139,40110,0,5683,0,0,358,0,69.8027366,428519,0,62009,7092,6909,38,203635,1890,48534,27738
IL,21,18,0,7,40971,31030,10254,57943,0,0,7940,155202,0,85129,10053,0.00217944,8840,12529,0,4264,47389,0,5910,0,0,187,0,94.16111632,401503,0,43968,5505,6156,38,242398,0,52348,28611
