STATE,FIPSTATE,SC,CD,REDIST,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRUC,CVLLBRFR,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
MA,25,3,4,0,1,82683,97700,12394,36320,0,1,16463,319762,0,82980,3819,6063,23096,24.753351,67245,39325,32047,762,21901,50504,0,45875,0,0,819,0,789.2283465,601392,,1294,11361,8949,19834,19.7,427052,0,630729,61985
MA,25,3,5,0,1,63038,97700,13254,34880,0,0,16000,322110,0,88556,2222,10058,16916,24.753351,59604,38190,32047,586,19618,82213,0,49832,1,1,5582,0,1026.496587,601527,,824,8514,8926,21861,19.7,490274,0,630729,54669
MA,25,3,6,0,1,82674,97700,10745,32307,0,1,16741,330930,0,75198,3053,7754,23558,24.753351,41437,39708,32047,497,22470,62820,0,48728,1,1,1232,0,1210.887324,601811,,690,9484,12441,18315,19.7,502368,470,630729,65239
MA,25,3,7,0,1,91418,97700,13561,26957,0,1,16887,343166,0,64557,1938,9602,31687,24.753351,62106,40905,32047,172,20312,48394,0,50284,2,0,1580,0,3496.953488,601476,,19,10991,13855,18365,19.7,596004,0,630729,63658
MA,25,3,8,0,1,64735,97700,140312,28370,1,1,10894,340921,0,60166,1225,8295,29303,24.753351,128098,41422,32047,44,18420,34670,0,35764,0,0,632,0,13690.81818,602396,,0,14707,11837,23917,19.7,602396,0,630729,50181
MA,25,3,9,0,1,87763,97700,39870,32050,1,1,16103,327990,0,68183,1685,9293,30175,24.753351,72702,46469,32047,254,23336,41157,0,46736,0,0,1122,0,2367.125984,601250,,51,13840,13327,20038,19.7,592014,1077,630729,62576
MA,25,3,10,0,1,98002,97700,12618,29519,0,1,24355,319528,0,79914,4780,8265,30489,24.753351,33121,41161,32047,880,24271,32137,1,45134,3,1,2182,1,683.5340909,613149,,732,8625,13395,19908,19.7,360872,0,630729,72867
NH,33,4,1,0,1,61171,7400,3813,37249,0,1,20224,307846,0,78549,3403,11425,21168,24.753351,20231,39179,6682,2507,18823,60111,0,41959,2,0,3817,1,221.1021141,554303,,2337,8931,10475,17512,12.3,221715,108,134255,66417
NH,33,4,2,0,1,63813,7400,3342,41450,0,0,20469,304499,0,83017,4444,6546,17775,24.753351,20962,35949,6682,6462,19242,69272,0,41291,0,0,770,0,85.87883008,554949,,3239,10161,8803,16492,12.3,118024,0,134255,58108
RI,44,5,1,0,1,78555,13500,16113,40149,0,1,13643,262391,0,60551,2585,7065,15061,24.753351,52029,30971,5,323,14866,57293,0,38896,2,0,6404,0,1553.23839,501696,,454,9040,7242,16132,19.4,453576,0,113560,51268
RI,44,5,2,0,1,72447,13500,21873,35464,0,1,14138,260212,0,68076,3343,6276,18063,24.753351,43059,37439,5,721,16181,53373,0,39454,0,0,1109,0,695.9334258,501798,,670,14982,8607,15650,19.4,370948,156,113560,52124
VT,50,6,1,0,1,66169,5800,2194,38046,0,0,21952,300746,0,87494,11711,6769,15971,24.753351,17544,39614,4402,9249,20044,44018,0,34780,0,0,673,1,60.84528057,562758,,11810,12801,9131,15721,11.9,86873,120,61315,62185
DE,10,11,1,0,2,80670,85800,112125,44140,0,1,26720,349092,0,90216,6091,8509,32416,28.008056,22275,44664,0,1954,9923,62903,0,40252,1,1,5382,0,340.9252815,666168,,6486,26232,12731,12500,20.3,459494,150,77177,66067
NJ,34,12,1,0,2,69368,100300,94171,39350,0,0,20373,301618,0,88722,2138,11649,21591,28.008056,21089,42510,33875,321,21843,45425,0,40674,0,0,1143,0,1852.006231,594494,,495,9018,15077,16618,19.9,567481,0,790452,64209
NJ,34,12,2,0,2,87781,100300,84066,38066,0,1,20157,298490,0,85412,5349,6195,16020,28.008056,24548,47269,33875,1912,27639,36745,0,38172,0,0,1821,1,311.0475941,594723,,4608,13435,10440,16909,19.9,330803,0,790452,54095
NJ,34,12,3,0,2,89493,100300,47779,27892,0,1,21174,295827,0,86457,2871,11619,22745,28.008056,32228,47856,33875,966,25522,36242,0,46870,2,2,9731,1,615.5973085,594667,,982,10715,12235,12422,19.9,426084,0,790452,62761
NJ,34,12,4,0,2,99545,100300,74087,34759,0,1,18931,293829,0,77148,3889,9958,19888,28.008056,40161,59366,33875,699,25472,40338,0,43707,2,1,3796,0,850.7482117,594673,,2047,23936,12701,15541,19.9,479257,0,790452,55386
NJ,34,12,5,0,2,74676,100300,7231,27767,0,0,20914,321606,0,83235,3728,4920,29522,28.008056,62130,36767,33875,1076,24943,52001,0,59583,0,0,262,0,552.5845725,595233,,3068,6904,13287,11608,19.9,415670,0,790452,67510
NJ,34,12,6,0,2,72533,100300,66565,39278,0,1,19834,330769,0,69785,2206,9243,28980,28.008056,66070,46832,33875,201,24621,50769,0,49729,2,1,1877,0,2958.457711,594650,,17,12968,17447,16609,19.9,592731,0,790452,64201
NJ,34,12,7,0,2,81959,100300,60369,32540,0,0,16259,335075,0,70813,2023,6018,34358,28.008056,74410,38680,33875,273,24393,56488,0,57563,0,0,264,0,2178.915751,594844,,272,8269,15508,13053,19.9,570444,0,790452,64967
NJ,34,12,8,0,2,86860,100300,77533,46676,0,0,15031,321203,0,72414,1925,5821,26236,28.008056,109634,38879,33875,104,24280,66817,0,46731,0,0,224,0,5720.307692,594912,,0,8778,13938,19163,19.9,594912,0,790452,62151
NJ,34,12,9,0,2,95583,100300,37898,38903,0,1,15920,331373,0,58238,1600,6688,29764,28.008056,133187,37055,33875,92,23754,55977,0,48584,0,0,135,0,6465.108696,594790,,0,6613,20366,17381,19.9,594790,0,790452,71349
