STATE,SC,CD,DC,UNION,INTRLAND,VABEDS,COAST,PORT,CITY,LANDSQMI,POPULATN,POPSQMI,BLACK,BLUCLLR,CONSTRCT,EMPLYD,ENROLL,FARMER,FORBORN,GVTWRKR,MANUF,RURLFARM,TRANSPRT,UNEMPLYD,URBAN,VETERANS,WHLRETL
VT,6,1,0,12,0,239,0,,0,9278,359231,38.71858159,384,42507,5591,125092,67556,30361,21,5205,27475,105512,7856,16315,123239,,14364
DE,11,0,0,8.2,0,0,0,,0,1978,266505,134.7345804,35876,40238,,102627,45282,13736,32,,,45673,,11633,139432,5411,13918
DE,11,1,0,8.2,0,150,1,,0,1978,266505,134.7345804,35876,40238,6969,102627,45282,13736,32,3853,29643,45673,7910,11633,139432,,13918
NJ,12,0,0,17.1,958,0,0,,0,7522,4160165,553.0663387,226973,716802,,1569059,741579,43840,1117,,,132219,,288281,3394773,127351,190282
NJ,12,1,0,17.1,958,0,1,,0,900,370220,411.3555556,29718,64689,6354,130086,66944,6941,51,3879,56062,23232,9496,27866,248963,,12792
NJ,12,2,0,17.1,958,0,1,,0,1345,226169,168.1553903,27898,30970,5310,78778,37489,6214,43,3182,16597,20488,4993,19415,151537,,13896
NJ,12,3,0,17.1,958,0,1,,0,1311,300970.19,229.5729901,18212.36,47860.8,7488.85,108974.56,53318.52,6378.54,108.9,6805.58,31479.87,18926.81,7719.35,20500.17,165672.49,,14025.86
NJ,12,4,0,17.1,958,0,1,,0,1047,294331,281.1184336,20863,52230,5398,109712,53673,5806,47,6392,41499,19718,6417,18947,158899,,13079
,12,4,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,12,5,0,17.1,958,2557,1,,0,892,328197.43,367.9343386,8440.92,59230.6,6219.45,121288.32,59908.44,5314.38,119.3,3467.26,48371.39,19517.57,8417.95,19291.49,199863.53,,12239.42
NJ,12,6,0,17.1,958,0,1,,0,103,328344,3187.805825,19699,56958,6151,128834,61320,783,105,3542,53412,518,10777,16614,306643,,12371
NJ,12,7,0,17.1,958,0,0,,0,1514,294817.38,194.7274637,5280.38,47391.2,6488.76,111022.6,53242.44,9632.84,84.1,2773.5,36176.02,27243.58,8389.46,16347.82,202946.68,,9094.9
NJ,12,8,0,17.1,958,0,0,,0,121,303165.94,2505.503636,6640.48,67264.26,5379.22,122300.08,52036.04,949.62,66.64,2783.2,58152.22,1042.72,7186.34,23119.18,287766.22,,14563.78
NJ,12,9,0,17.1,958,0,1,,0,123,283237.48,2302.74374,6775.43,47762.18,6247.99,110036.1,51126.47,990.23,98.28,2901.59,39010.68,1226.84,10649.83,16639.79,258456.79,,8966.61
NJ,12,10,0,17.1,958,0,0,,1,44,293138.8,6662.245455,20710.51,47115.48,4896.07,112127.82,51416.33,206.63,79.74,3975.63,38149.36,216.62,9294.01,21630.29,288127.75,,17891.83
NJ,12,11,0,17.1,958,0,0,,1,32,293069,9158.40625,24071.6,44646,4998.35,111949.95,51075.85,217,78.75,3974.25,37071.65,270.55,7915.25,20895.7,287060.9,,19423.25
NJ,12,12,0,17.1,958,0,1,,1,64,309815.8,4840.871875,25447.12,47197.2,5283.97,118347.09,53994.47,229.4,83.25,4201.35,39190.03,286.01,8367.55,22089.74,303464.38,,20533.15
NJ,12,13,0,17.1,958,0,1,,1,18,273856.8,15214.26667,6781.74,53193.84,4187.82,105316.68,49259.7,154.14,78.12,3715.74,39629.52,0.84,13821.78,22930.74,272902.14,,10981.74
NJ,12,14,0,17.1,958,0,1,,1,12,273856.8,22821.4,6781.74,53193.84,4187.82,105316.68,49259.7,154.14,78.12,3715.74,39629.52,0.84,13821.78,22930.74,272902.14,,10981.74
NY,13,0,0,24.7,2343,0,0,,0,47929,13479142,281.2314465,571221,1868986,,4974518,2317037,202955,4813,,,715812,,987681,11165893,414033,859957
NY,13,1,0,24.7,2343,2794,0,,0,1072,270569.64,252.3970522,11081.68,28847.98,8013.86,86356.68,47213.02,5945.14,106.02,4408.86,10158.8,20938.42,6809.82,13780.02,69659,,10616.08
NY,13,2,0,24.7,2343,0,1,,0,150,333533.36,2223.555733,10845.32,35105.02,9985.14,119905.32,65754.98,2150.86,113.98,6377.14,17392.2,3131.58,11315.18,16308.98,160515,,13739.92
NY,13,3,0,24.7,2343,0,1,128581981,1,27,324408.5,12015.12963,6472.5,46333.75,7331.5,125390.5,54336.5,158.25,124.75,7372.25,32390.5,0,13790.5,20733.25,324408.5,,11614
NY,13,4,0,24.7,2343,0,1,128581981,1,27,324408.5,12015.12963,6472.5,46333.75,7331.5,125390.5,54336.5,158.25,124.75,7372.25,32390.5,0,13790.5,20733.25,324408.5,,11614
NY,13,5,0,24.7,2343,0,1,128581981,1,27,324408.5,12015.12963,6472.5,46333.75,7331.5,125390.5,54336.5,158.25,124.75,7372.25,32390.5,0,13790.5,20733.25,324408.5,,11614
NY,13,6,0,24.7,2343,0,1,128581981,1,27,324408.5,12015.12963,6472.5,46333.75,7331.5,125390.5,54336.5,158.25,124.75,7372.25,32390.5,0,13790.5,20733.25,324408.5,,11614
NY,13,7,0,24.7,2343,0,1,128581981,1,8,296811.35,37101.41875,11798.93,44663.52,5101.03,108283.56,53158.05,33,141.02,4463.03,34730.96,0,9349.23,23616.56,296811.35,,9572.2
NY,13,8,0,24.7,2343,0,1,128581981,1,8,296811.35,37101.41875,11798.93,44663.52,5101.03,108283.56,53158.05,33,141.02,4463.03,34730.96,0,9349.23,23616.56,296811.35,,9572.2
NY,13,9,0,24.7,2343,0,1,128581981,1,8,296811.35,37101.41875,11798.93,44663.52,5101.03,108283.56,53158.05,33,141.02,4463.03,34730.96,0,9349.23,23616.56,296811.35,,9572.2
NY,13,10,0,24.7,2343,0,0,128581981,1,8,296811.35,37101.41875,11798.93,44663.52,5101.03,108283.56,53158.05,33,141.02,4463.03,34730.96,0,9349.23,23616.56,296811.35,,9572.2
NY,13,11,0,24.7,2343,0,0,128581981,1,8,296811.35,37101.41875,11798.93,44663.52,5101.03,108283.56,53158.05,33,141.02,4463.03,34730.96,0,9349.23,23616.56,296811.35,,9572.2
NY,13,12,0,24.7,2343,0,1,128581981,1,8,296811.35,37101.41875,11798.93,44663.52,5101.03,108283.56,53158.05,33,141.02,4463.03,34730.96,0,9349.23,23616.56,296811.35,,9572.2
NY,13,13,0,24.7,2343,0,1,128581981,1,8,296811.35,37101.41875,11798.93,44663.52,5101.03,108283.56,53158.05,33,141.02,4463.03,34730.96,0,9349.23,23616.56,296811.35,,9572.2
NY,13,14,0,24.7,2343,0,1,128581981,1,8,296811.35,37101.41875,11798.93,44663.52,5101.03,108283.56,53158.05,33,141.02,4463.03,34730.96,0,9349.23,23616.56,296811.35,,9572.2
NY,13,15,0,24.7,2343,400,1,128581981,1,8,296811.35,37101.41875,11798.93,44663.52,5101.03,108283.56,53158.05,33,141.02,4463.03,34730.96,0,9349.23,23616.56,296811.35,,9572.2
NY,13,16,0,24.7,2343,1500,1,128581981,1,60,250037.96,4167.299333,15331.6,31097.56,4380.16,90484.56,43999.28,275.12,115.8,7925.24,19357.52,0,10004.36,22830.24,250037.96,,20931.08
NY,13,17,0,24.7,2343,0,1,128581981,1,3,302387.84,100795.9467,47738.4,33974.24,3832.64,125370.24,39893.12,36.48,211.2,3964.96,23530.08,0,9277.44,33596.96,302387.84,,64804.32
NY,13,18,0,24.7,2343,0,1,128581981,1,3,302387.84,100795.9467,47738.4,33974.24,3832.64,125370.24,39893.12,36.48,211.2,3964.96,23530.08,0,9277.44,33596.96,302387.84,,64804.32
NY,13,19,0,24.7,2343,0,1,128581981,1,3,302387.84,100795.9467,47738.4,33974.24,3832.64,125370.24,39893.12,36.48,211.2,3964.96,23530.08,0,9277.44,33596.96,302387.84,,64804.32
,13,19,,,,,,,,,,,,,,,,,,,,,,,,,
NY,13,20,0,24.7,2343,0,1,128581981,1,3,302387.84,100795.9467,47738.4,33974.24,3832.64,125370.24,39893.12,36.48,211.2,3964.96,23530.08,0,9277.44,33596.96,302387.84,,64804.32
NY,13,21,0,24.7,2343,0,1,128581981,1,3,302387.84,100795.9467,47738.4,33974.24,3832.64,125370.24,39893.12,36.48,211.2,3964.96,23530.08,0,9277.44,33596.96,302387.84,,64804.32
NY,13,22,0,24.7,2343,0,1,128581981,1,3,302387.84,100795.9467,47738.4,33974.24,3832.64,125370.24,39893.12,36.48,211.2,3964.96,23530.08,0,9277.44,33596.96,302387.84,,64804.32
NY,13,23,0,24.7,2343,0,1,128581981,1,10,348677.75,34867.775,5882.25,49347.5,7131,127675.5,60570.5,37.75,129.5,6239,35157.5,0,11398,28338.25,348677.75,,8501.25
NY,13,24,0,24.7,2343,1665,1,128581981,1,10,348677.75,34867.775,5882.25,49347.5,7131,127675.5,60570.5,37.75,129.5,6239,35157.5,0,11398,28338.25,348677.75,,8501.25
NY,13,25,0,24.7,2343,0,1,128581981,1,10,348677.75,34867.775,5882.25,49347.5,7131,127675.5,60570.5,37.75,129.5,6239,35157.5,0,11398,28338.25,348677.75,,8501.25
NY,13,26,0,24.7,2343,0,1,128581981,1,10,348677.75,34867.775,5882.25,49347.5,7131,127675.5,60570.5,37.75,129.5,6239,35157.5,0,11398,28338.25,348677.75,,8501.25
NY,13,27,0,24.7,2343,0,0,,0,452,297598.42,658.4035841,15504.54,33870.03,8238.5,110100.23,56168.07,1509.84,112.33,5186.73,19209.87,4846.63,8441.99,18503.02,235161.29,,13759.86
NY,13,28,0,24.7,2343,0,0,,0,217,292514.58,1347.993456,15986.46,32969.97,7471.5,108694.77,55356.93,875.16,110.67,5190.27,19718.13,2237.37,8135.01,18052.98,244759.71,,13777.14
NY,13,29,0,24.7,2343,0,1,,0,3463,293264,84.68495524,7739,36398,6733,100202,49969,15008,47,5525,19263,49816,8140,15306,113078,,11034
NY,13,30,0,24.7,2343,0,0,,0,3880,297761,76.74252577,8426,38206,8113,99728,49378,17049,69,3242,21175,56650,6453,16315,112545,,10490
NY,13,31,0,24.7,2343,0,0,,0,3875,280503,72.38787097,1297,49307,4026,106461,46956,9948,53,3391,45992,34647,5415,18244,182668,,12579
NY,13,32,0,24.7,2343,0,0,,0,861,257865.2,299.4950058,3632.7,38813.4,4799.2,98824,43405.2,3795.6,30.1,9967.3,22641.7,13766.3,12893.7,17045.1,198239.3,,18456.3
NY,13,33,0,24.7,2343,0,0,,0,5749,321834.8,55.98100539,2568.3,44081.6,5394.8,109462,58547.8,15013.4,36.9,6799.7,29189.3,57711.7,7675.3,21402.9,161099.7,,11840.7
NY,13,34,0,24.7,2343,0,1,,0,7043,242202,34.38903876,244,24586,3179,79028,47777,19972,16,3425,15646,67622,4356,12412,100627,,8747
NY,13,35,0,24.7,2343,0,1,,0,2195,274911,125.2441913,1006,43516,3894,97545,49326,10838,21,3286,35531,39616,5979,16012,180627,,11913
