Sampling,Model,Metric,Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Avg_Acc,Std_dev_Acc,Avg_Precision,Std_dev Precision,Avg_recall,std_dev recall,average_f1,std_dev f1
UNDER,AdaBoost,FN,472,445,461,515,487,459,424,469,466,495,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,AdaBoost,FP,31,28,24,13,20,17,16,19,17,24,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,AdaBoost,TN,68,73,64,91,77,68,65,61,63,73,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,AdaBoost,precision,0.920918367,0.93236715,0.941031941,0.960122699,0.945652174,0.958024691,0.963882619,0.952736318,0.957816377,0.934065934,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,AdaBoost,recall,0.433373349,0.464500602,0.453791469,0.378019324,0.416766467,0.458087367,0.501762632,0.449530516,0.453051643,0.407185629,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,AdaBoost,f1,0.589387755,0.620080321,0.612310152,0.542461005,0.578553616,0.619808307,0.659969088,0.610845295,0.615139442,0.567139283,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,MLP,accuracy,0.243562232,0.32832618,0.75751073,0.151287554,0.591201717,0.228540773,0.583690987,0.306866953,0.135193133,0.103004292,0.342918455,0.212931989,0.835218719,0.295492317,0.299474284,0.278959203,0.433427563,0.279377521
,,,,,,,,,,,,,,,,,,,,
UNDER,MLP,TP,146,235,692,37,503,133,506,222,49,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,MLP,FN,687,596,152,791,332,714,345,630,803,835,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,MLP,FP,18,30,74,0,49,5,43,16,3,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,MLP,TN,81,71,14,104,48,80,38,64,77,96,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,MLP,precision,0.890243902,0.886792453,0.903394256,1,0.911231884,0.963768116,0.921675774,0.932773109,0.942307692,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,MLP,recall,0.175270108,0.282791817,0.819905213,0.04468599,0.60239521,0.157024793,0.594594595,0.26056338,0.057511737,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,MLP,f1,0.292878636,0.428832117,0.859627329,0.085549133,0.725306417,0.270050761,0.722857143,0.40733945,0.10840708,nan,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,KNN,accuracy,0.730686695,0.725321888,0.701716738,0.684549356,0.72639485,0.707081545,0.703862661,0.704935622,0.710300429,0.710300429,0.710515021,0.013104193,0.915591031,0.007143393,0.748187276,0.014398551,0.823393392,0.009559736
,,,,,,,,,,,,,,,,,,,,
OVER,KNN,TP,650,642,632,609,639,623,618,627,621,631,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,KNN,FN,196,199,220,242,203,212,209,211,211,215,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,KNN,FP,55,57,58,52,52,61,67,64,59,55,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,KNN,TN,31,34,22,29,38,36,38,30,41,31,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,KNN,precision,0.921985816,0.918454936,0.915942029,0.921331316,0.924746744,0.910818713,0.902189781,0.907380608,0.913235294,0.919825073,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,KNN,recall,0.768321513,0.763376932,0.741784038,0.715628672,0.758907363,0.746107784,0.747279323,0.748210024,0.746394231,0.745862884,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,KNN,f1,0.838168923,0.833766234,0.819714656,0.805555556,0.833659491,0.820276498,0.817460317,0.820143885,0.821428571,0.823759791,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3 (Underfitting),accuracy,0.776824034,0.714592275,0.717811159,0.754291845,0.752145923,0.767167382,0.746781116,0.745708155,0.756437768,0.67167382,0.740343348,0.02932543,0.958721549,0.016725163,0.744974379,0.04034723,0.837637287,0.023335516
,,,,,,,,,,,,,,,,,,,,
OVER,ID3 (Underfitting),TP,657,600,606,650,632,645,623,625,667,559,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3 (Underfitting),FN,189,241,246,201,210,190,204,213,165,287,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3 (Underfitting),FP,19,25,17,28,21,27,32,24,62,19,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3 (Underfitting),TN,67,66,63,53,69,70,73,70,38,67,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3 (Underfitting),precision,0.971893491,0.96,0.972712681,0.958702065,0.967840735,0.959821429,0.951145038,0.963020031,0.914951989,0.967128028,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3 (Underfitting),recall,0.776595745,0.713436385,0.711267606,0.763807286,0.750593824,0.77245509,0.753325272,0.745823389,0.801682692,0.660756501,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3 (Underfitting),f1,0.863337714,0.818553888,0.821694915,0.850228908,0.84548495,0.856005309,0.840755735,0.840618695,0.854580397,0.78511236,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3,accuracy,0.832618026,0.841201717,0.842274678,0.821888412,0.840128755,0.836909871,0.837982833,0.836909871,0.824034335,0.860515021,0.837446352,0.010113764,0.922926805,0.007909066,0.894309615,0.011585812,0.90835057,0.007597631
,,,,,,,,,,,,,,,,,,,,
OVER,ID3,TP,763,747,759,746,759,752,750,744,731,770,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3,FN,83,94,93,105,83,83,77,94,101,76,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3,FP,65,59,58,60,57,67,74,63,71,54,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3,TN,21,32,22,21,33,30,31,31,29,32,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3,precision,0.921497585,0.926799007,0.929008568,0.925558313,0.930147059,0.918192918,0.910194175,0.921933086,0.911471322,0.934466019,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3,recall,0.901891253,0.8882283,0.89084507,0.876615746,0.901425178,0.900598802,0.906892382,0.887828162,0.878605769,0.910165485,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3,f1,0.911589008,0.907103825,0.909526663,0.90042245,0.915560917,0.909310762,0.908540279,0.904559271,0.894736842,0.922155689,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3 (Overfitting),accuracy,0.841201717,0.83583691,0.837982833,0.822961373,0.849785408,0.839055794,0.837982833,0.831545064,0.815450644,0.860515021,0.83723176,0.011967729,0.922926805,0.007909066,0.894309615,0.011585812,0.90835057,0.007597631
,,,,,,,,,,,,,,,,,,,,
OVER,ID3 (Overfitting),TP,763,747,759,746,759,752,750,744,731,770,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3 (Overfitting),FN,83,94,93,105,83,83,77,94,101,76,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3 (Overfitting),FP,65,59,58,60,57,67,74,63,71,54,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3 (Overfitting),TN,21,32,22,21,33,30,31,31,29,32,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3 (Overfitting),precision,0.921497585,0.926799007,0.929008568,0.925558313,0.930147059,0.918192918,0.910194175,0.921933086,0.911471322,0.934466019,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3 (Overfitting),recall,0.901891253,0.8882283,0.89084507,0.876615746,0.901425178,0.900598802,0.906892382,0.887828162,0.878605769,0.910165485,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,ID3 (Overfitting),f1,0.911589008,0.907103825,0.909526663,0.90042245,0.915560917,0.909310762,0.908540279,0.904559271,0.894736842,0.922155689,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,CART,accuracy,0.818669528,0.839055794,0.854077253,0.807939914,0.840128755,0.822961373,0.837982833,0.845493562,0.803648069,0.824034335,0.829399142,0.015681396,0.923587627,0.008632729,0.884097567,0.015357947,0.903348191,0.009928266
,,,,,,,,,,,,,,,,,,,,
OVER,CART,TP,740,750,770,727,746,739,744,752,722,745,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,CART,FN,106,91,82,124,96,96,83,86,110,101,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,CART,FP,63,59,54,55,53,69,68,58,73,63,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,CART,TN,23,32,26,26,37,28,37,36,27,23,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,CART,precision,0.921544209,0.927070457,0.934466019,0.929667519,0.933667084,0.91460396,0.916256158,0.928395062,0.908176101,0.922029703,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,CART,recall,0.874704492,0.891795482,0.903755869,0.854289072,0.885985748,0.88502994,0.899637243,0.897374702,0.867788462,0.880614657,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,CART,f1,0.897513645,0.909090909,0.918854415,0.890385793,0.909201706,0.89957395,0.907870653,0.912621359,0.887523049,0.900846433,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,Naive Bayes,accuracy,0.097639485,0.108369099,0.146995708,0.118025751,0.118025751,0.129828326,0.144849785,0.123390558,0.135193133,0.113733906,0.12360515,0.014958482,0.928675694,0.042218275,0.031605345,0.017877953,0.060547341,0.033011514
,,,,,,,,,,,,,,,,,,,,
OVER,Naive Bayes,TP,5,10,61,33,22,28,34,23,28,22,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,Naive Bayes,FN,841,831,791,818,820,807,793,815,804,824,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,Naive Bayes,FP,0,0,4,4,2,4,4,2,2,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,Naive Bayes,TN,86,91,76,77,88,93,101,92,98,84,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,Naive Bayes,precision,1,1,0.938461538,0.891891892,0.916666667,0.875,0.894736842,0.92,0.933333333,0.916666667,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,Naive Bayes,recall,0.005910165,0.011890606,0.071596244,0.038777908,0.026128266,0.033532934,0.041112455,0.027446301,0.033653846,0.026004728,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,Naive Bayes,f1,0.011750881,0.023501763,0.13304253,0.074324324,0.050808314,0.064590542,0.078612717,0.053302433,0.064965197,0.050574713,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,RBF Kernel SVC,accuracy,0.241416309,0.288626609,0.219957082,0.246781116,0.290772532,0.256437768,0.239270386,0.230686695,0.269313305,0.233905579,0.251716738,0.022963379,0.899688613,0.019751796,0.192161828,0.027988662,0.315841183,0.037615007
,,,,,,,,,,,,,,,,,,,,
OVER,RBF Kernel SVC,TP,150,199,143,166,200,156,138,138,178,148,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,RBF Kernel SVC,FN,696,642,709,685,642,679,689,700,654,698,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,RBF Kernel SVC,FP,11,21,18,17,19,14,20,17,27,16,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,RBF Kernel SVC,TN,75,70,62,64,71,83,85,77,73,70,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,RBF Kernel SVC,precision,0.931677019,0.904545455,0.888198758,0.907103825,0.913242009,0.917647059,0.873417722,0.890322581,0.868292683,0.902439024,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,RBF Kernel SVC,recall,0.177304965,0.236623068,0.167840376,0.19506463,0.237529691,0.186826347,0.166868198,0.164677804,0.213942308,0.174940898,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,RBF Kernel SVC,f1,0.297914598,0.375117813,0.282329714,0.321083172,0.377002828,0.310447761,0.280203046,0.277945619,0.343297975,0.293069307,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,Random Forest,accuracy,0.884120172,0.877682403,0.884120172,0.879828326,0.888412017,0.873390558,0.876609442,0.886266094,0.86695279,0.899141631,0.881652361,0.008449188,0.91467511,0.008893439,0.958289996,0.007423081,0.935933684,0.005051901
,,,,,,,,,,,,,,,,,,,,
OVER,Random Forest,TP,810,806,813,802,809,800,797,811,793,818,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,Random Forest,FN,36,35,39,49,33,35,30,27,39,28,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,Random Forest,FP,72,79,69,63,71,83,85,79,85,66,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,Random Forest,TN,14,12,11,18,19,14,20,15,15,20,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,Random Forest,precision,0.918367347,0.910734463,0.921768707,0.92716763,0.919318182,0.906002265,0.903628118,0.911235955,0.903189066,0.925339367,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,Random Forest,recall,0.957446809,0.958382878,0.954225352,0.942420682,0.960807601,0.958083832,0.963724305,0.96778043,0.953125,0.966903073,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,Random Forest,f1,0.9375,0.933951333,0.937716263,0.934731935,0.93960511,0.931315483,0.932709187,0.938657407,0.92748538,0.94566474,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,AdaBoost,accuracy,0.880901288,0.85944206,0.886266094,0.871244635,0.887339056,0.870171674,0.876609442,0.875536481,0.850858369,0.886266094,0.874463519,0.011415825,0.922701866,0.008356438,0.93960306,0.011498857,0.931027655,0.007093789
,,,,,,,,,,,,,,,,,,,,
OVER,AdaBoost,TP,795,779,803,790,803,777,789,795,769,802,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,AdaBoost,FN,51,62,49,61,39,58,38,43,63,44,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,AdaBoost,FP,60,69,57,59,66,63,77,73,76,62,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,AdaBoost,TN,26,22,23,22,24,34,28,21,24,24,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,AdaBoost,precision,0.929824561,0.918632075,0.93372093,0.930506478,0.924050633,0.925,0.91108545,0.915898618,0.910059172,0.928240741,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,AdaBoost,recall,0.939716312,0.92627824,0.942488263,0.928319624,0.95368171,0.930538922,0.954050786,0.948687351,0.924278846,0.947990544,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,AdaBoost,f1,0.934744268,0.922439313,0.938084112,0.929411765,0.938632379,0.927761194,0.932073243,0.932004689,0.917113894,0.938011696,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,MLP,accuracy,0.454935622,0.832618026,0.401287554,0.404506438,0.175965665,0.839055794,0.174892704,0.7027897,0.876609442,0.881974249,0.574463519,0.270295219,0.909643345,0.01023071,0.589832401,0.356057675,0.649917189,0.304903949
,,,,,,,,,,,,,,,,,,,,
OVER,MLP,TP,370,766,329,327,82,772,63,621,816,812,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,MLP,FN,476,75,523,524,760,63,764,217,16,34,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,MLP,FP,32,81,35,31,8,87,5,60,99,76,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,MLP,TN,54,10,45,50,82,10,100,34,1,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,MLP,precision,0.92039801,0.904368359,0.903846154,0.913407821,0.911111111,0.898719441,0.926470588,0.911894273,0.891803279,0.914414414,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,MLP,recall,0.437352246,0.910820452,0.386150235,0.384253819,0.097387173,0.924550898,0.07617896,0.741050119,0.980769231,0.959810875,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OVER,MLP,f1,0.592948718,0.907582938,0.541118421,0.540942928,0.175965665,0.911452184,0.140782123,0.817643186,0.934172868,0.93656286,,,,,,,,
