Sampling,Model,Metric,Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Avg_Acc,Std_dev_Acc,Avg_Precision,Std_dev Precision,Avg_recall,std_dev recall,average_f1,std_dev f1
,,,,,,,,,,,,,,,,,,,,
STANDARD,CART,FN,69,45,49,75,64,79,82,62,52,51,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,CART,FP,53,70,76,73,76,65,54,54,72,77,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,CART,TN,24,25,17,28,24,32,28,29,24,21,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,CART,precision,0.936829559,0.918793503,0.912240185,0.911942099,0.909952607,0.920828258,0.934306569,0.935790725,0.91588785,0.910465116,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,CART,recall,0.919298246,0.946236559,0.941597139,0.909747292,0.923076923,0.905389222,0.903529412,0.926972909,0.937799043,0.938848921,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,CART,f1,0.92798111,0.932313125,0.926686217,0.910843373,0.91646778,0.913043478,0.918660287,0.931360947,0.926713948,0.924439197,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,Naive Bayes,accuracy,0.917381974,0.89806867,0.136266094,0.137339056,0.892703863,0.895922747,0.912017167,0.910944206,0.896995708,0.894849785,0.749248927,0.306326263,0.898020603,0.033803433,0.808502615,0.403711977,0.775140329,0.365823533
,,,,,,,,,,,,,,,,,,,,
STANDARD,Naive Bayes,TP,855,837,36,35,832,835,850,849,836,834,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,Naive Bayes,FN,0,0,803,796,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,Naive Bayes,FP,77,95,2,8,100,97,82,83,96,98,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,Naive Bayes,TN,0,0,91,93,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
