Sampling,Model,Metric,Average,Standard Deviation,Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
,,,,,,,,,,,,,,
OVER,Random Forest,accuracy,0.886051502,0.006986618,0.89055794,0.88304721,0.885193133,0.872317597,0.891630901,0.877682403,0.887339056,0.886266094,0.895922747,0.89055794
OVER,Random Forest,precision,0.916949171,0.010704643,0.921857305,0.90684624,0.921590909,0.895089286,0.924398625,0.907553551,0.921679909,0.91723356,0.931740614,0.921501706
OVER,Random Forest,recall,0.96110607,0.004809771,0.961038961,0.96882494,0.955241461,0.969770254,0.958432304,0.96176822,0.95754717,0.960807601,0.956775701,0.960854093
OVER,Random Forest,f1,0.938452868,0.003827802,0.941040462,0.936811594,0.938114517,0.930934417,0.941107872,0.93387471,0.939271255,0.938515081,0.944092219,0.940766551
OVER,Random Forest,auc,0.571600417,0.021565624,0.574637128,0.560943082,0.56195808,0.537266079,0.612549485,0.549305163,0.568059299,0.574848245,0.583651008,0.592786597
,,,,,,,,,,,,,,
OVER,AdaBoost,accuracy,0.836480687,0.012172845,0.853004292,0.830472103,0.826180258,0.83583691,0.810085837,0.834763948,0.845493562,0.841201717,0.845493562,0.842274678
OVER,AdaBoost,precision,0.925067992,0.006606014,0.932926829,0.916256158,0.927770859,0.917079208,0.921419518,0.9200492,0.929268293,0.925245098,0.93627451,0.924390244
OVER,AdaBoost,recall,0.891282745,0.011938426,0.903187721,0.892086331,0.877502945,0.896009674,0.863420428,0.893667861,0.898584906,0.896674584,0.892523364,0.899169632
OVER,AdaBoost,f1,0.907821553,0.007550777,0.917816437,0.904009721,0.901937046,0.906422018,0.891477621,0.906666667,0.913669065,0.910735826,0.913875598,0.911605532
OVER,AdaBoost,auc,0.605640376,0.013869461,0.628064449,0.59910439,0.589353882,0.628957218,0.587265769,0.604728668,0.604054358,0.609448403,0.604156419,0.601270209
,,,,,,,,,,,,,,
OVER,MLP,accuracy,0.504935622,0.304380901,0.790772532,0.233905579,0.681330472,0.860515021,0.814377682,0.241416309,0.156652361,0.787553648,0.330472103,0.152360515
OVER,MLP,precision,0.899278294,0.02780122,0.909547739,0.9,0.911940299,0.886792453,0.901560624,0.90625,0.8875,0.907594937,0.946153846,0.835443038
OVER,MLP,recall,0.506857207,0.377942359,0.854781582,0.161870504,0.7196702,0.966142684,0.89192399,0.173237754,0.083726415,0.851543943,0.287383178,0.078291815
OVER,MLP,f1,0.568826005,0.336287431,0.881314668,0.274390244,0.804476629,0.924768519,0.896716418,0.290872618,0.153017241,0.878676471,0.440860215,0.143167028
OVER,MLP,auc,0.503432116,0.022234075,0.503861379,0.50440464,0.504413413,0.497357056,0.49040644,0.507671509,0.488291779,0.520216416,0.551586326,0.4661122
