Sampling,Model,Metric,Average,Standard Deviation,Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
OVER,KNN,accuracy,0.7145922746781116,0.016957467226222735,0.7049356223175965,0.7145922746781116,0.7360515021459227,0.7446351931330472,0.7178111587982833,0.7156652360515021,0.7188841201716738,0.6974248927038627,0.7092274678111588,0.6866952789699571
OVER,KNN,precision,0.918694515039903,0.013140674779561322,0.9129172714078374,0.9384384384384384,0.9202797202797203,0.9275568181818182,0.9255014326647565,0.9263005780346821,0.927007299270073,0.9053857350800583,0.9097525473071325,0.8938053097345132
OVER,KNN,recall,0.7512415393716447,0.015096595753104245,0.745260663507109,0.7352941176470589,0.7768595041322314,0.7773809523809524,0.7537922987164527,0.7497076023391813,0.7497048406139315,0.7413587604290822,0.749400479616307,0.7336561743341404
OVER,KNN,f1,0.8264948516412187,0.011903938087059104,0.8206131767775603,0.8245382585751978,0.8425096030729834,0.8458549222797929,0.8308681672025723,0.8287007110536523,0.8289817232375978,0.8152031454783749,0.821827744904668,0.8058510638297872
OVER,KNN,auc,0.5575465892651197,0.0348463252625372,0.5317212408444636,0.6176470588235294,0.5531356344190568,0.611516563146998,0.5302294826915597,0.5436849700007595,0.5807347732481422,0.5212170146231433,0.5583737091959086,0.5272054456576363
OVER,ID3 (Underfitting),accuracy,0.7637339055793991,0.03295775318896983,0.7821888412017167,0.7972103004291845,0.776824034334764,0.7939914163090128,0.7639484978540773,0.8025751072961373,0.7221030042918455,0.7575107296137339,0.7103004291845494,0.73068669527897
OVER,ID3 (Underfitting),precision,0.9540801291907485,0.01233148478392061,0.9706314243759178,0.9436241610738255,0.9443671766342142,0.932,0.9663250366032211,0.9467376830892144,0.9565217391304348,0.95952023988006,0.9668874172185431,0.9541864139020537
OVER,ID3 (Underfitting),recall,0.7767297505500212,0.046997070827972186,0.783175355450237,0.8270588235294117,0.8016528925619835,0.8321428571428572,0.7701283547257877,0.8315789473684211,0.7272727272727273,0.7628128724672228,0.7002398081534772,0.7312348668280871
OVER,ID3 (Underfitting),f1,0.8553813508502319,0.025643420606338868,0.8668852459016393,0.8815047021943574,0.8671775223499361,0.879245283018868,0.8571428571428571,0.8854296388542964,0.8262910798122066,0.8499335989375829,0.8122392211404728,0.8279643591501029
OVER,ID3 (Underfitting),auc,0.7039672762541762,0.0471975123866761,0.7779513140887548,0.6574318507890962,0.6655323286339329,0.6388975155279503,0.7317308440295605,0.6560492139439509,0.6989304812834224,0.7362451459110309,0.7480790877502079,0.7288249805838549
OVER,ID3,accuracy,0.8119098712446352,0.012876033212481432,0.8036480686695279,0.8143776824034334,0.8090128755364807,0.8100858369098712,0.805793991416309,0.8293991416309013,0.8047210300429185,0.8068669527896996,0.8390557939914163,0.796137339055794
OVER,ID3,precision,0.92538010045519,0.010003157289337022,0.9222357229647631,0.927860696517413,0.9273809523809524,0.9272503082614056,0.9359296482412061,0.9453416149068323,0.9225352112676056,0.9198520345252774,0.9146341463414634,0.9107806691449815
OVER,ID3,recall,0.8957506880317593,0.01756305811685272,0.8992890995260664,0.8776470588235294,0.9197166469893743,0.8952380952380953,0.8693115519253208,0.8900584795321638,0.9279811097992916,0.8891537544696066,0.8992805755395683,0.8898305084745762
OVER,ID3,f1,0.9101996994380566,0.00906866630377025,0.9106178764247151,0.9020556227327692,0.9235328986366331,0.9109630526953363,0.9013914095583786,0.9168674698795181,0.9252501471453796,0.9042424242424242,0.9068923821039903,0.9001837109614207
OVER,ID3,auc,0.6495413268515833,0.03985866421804964,0.6065812149935373,0.6723529411764706,0.6038613792624489,0.676863354037267,0.6024037339556593,0.7179387863598389,0.6279602750190985,0.6728311994565984,0.6804434003817353,0.6341769838731783
OVER,ID3 (Overfitting),accuracy,0.8401287553648069,0.014641981037524123,0.8401287553648069,0.8261802575107297,0.8615879828326181,0.842274678111588,0.825107296137339,0.851931330472103,0.8637339055793991,0.8304721030042919,0.8347639484978541,0.825107296137339
OVER,ID3 (Overfitting),precision,0.92538010045519,0.010003157289337022,0.9222357229647631,0.927860696517413,0.9273809523809524,0.9272503082614056,0.9359296482412061,0.9453416149068323,0.9225352112676056,0.9198520345252774,0.9146341463414634,0.9107806691449815
OVER,ID3 (Overfitting),recall,0.8957506880317593,0.01756305811685272,0.8992890995260664,0.8776470588235294,0.9197166469893743,0.8952380952380953,0.8693115519253208,0.8900584795321638,0.9279811097992916,0.8891537544696066,0.8992805755395683,0.8898305084745762
OVER,ID3 (Overfitting),f1,0.9101996994380566,0.00906866630377025,0.9106178764247151,0.9020556227327692,0.9235328986366331,0.9109630526953363,0.9013914095583786,0.9168674698795181,0.9252501471453796,0.9042424242424242,0.9068923821039903,0.9001837109614207
OVER,ID3 (Overfitting),auc,0.6021805392536637,0.024357029632925197,0.5860081861266695,0.5851649928263989,0.6010347940829225,0.6269668737060042,0.5946557759626605,0.6593149540517962,0.5757552607819988,0.5951145116434055,0.592497430626927,0.6052926127278542
OVER,CART,accuracy,0.8385193133047211,0.012515327758886054,0.8283261802575107,0.8476394849785408,0.8465665236051502,0.8497854077253219,0.8218884120171673,0.8497854077253219,0.8208154506437768,0.8304721030042919,0.8540772532188842,0.8358369098712446
OVER,CART,precision,0.9349297286343827,0.007713614083149513,0.9285714285714286,0.950381679389313,0.9324324324324325,0.9353233830845771,0.9313358302122348,0.9463171036204744,0.9370179948586118,0.9315589353612167,0.9276960784313726,0.9286624203821656
