YEAR,SC,CD,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,PREVPARTY,PREVCANDVO,PREVTOTVO,PARTY,CANDIDATEVOTES,TOTALVOTES,ISTEST,,
1988,48,4,5,85121,10267,100433,68816,0,0,0,102449,2394,3170,9715,1.61,8075,26321,20944,2124,13918,92636,0,18074,0,0,268,0,245.07,520525,0,2765,9233,8299,12382,5.8,350166,0,63482,44129,0,67012,130407,0,90234,173027,1,1,
1980,24,6,4,47058,37775,8902,71732,0,0,0,115971,8504,5734,7532,11.21,2386,22621,213,5451,11631,52575,0,8595,0,0,800,1,84.95,463067,0,43352,5256,5927,8461,38.9,157463,1209,50706,29681,1,85592,131910,1,101288,185523,1,1,
1982,42,2,11,96811,13619,95813,45701,0,0,0,109631,6274,10434,14558,7.19,7314,46744,185656,6000,16865,47910,0,17271,1,1,6363,1,94.85,569116,0,12772,19445,10436,14636,13.2,385075,1269,71414,51306,1,159148,201655,1,96775,179688,1,1,
1986,40,7,2,84382,29834,65193,45685,0,0,1,108550,10014,14823,12316,16.53,9811,56283,289424,6424,21609,43863,0,19765,2,1,1903,1,83.29,535080,0,18065,19851,8364,11452,10.9,191122,0,66110,45148,1,109110,193156,1,58927,59976,1,1,
1982,63,2,17,68586,5884,1790,30640,0,0,0,100950,20712,9377,10151,5.89,12490,33882,12005628,43107,13890,24423,0,17308,3,1,5592,0,10.94,471388,0,41888,10615,9061,12493,16.1,265876,162,55377,42313,1,116196,197560,1,83873,160481,1,1,
1980,25,6,7,57438,17532,523,78948,1,1,0,121680,14220,2342,8712,1.24,9676,21711,10001,5654,14793,69937,0,9727,0,0,406,0,86.83,490934,0,59300,4576,4501,6336,33.3,276464,0,51524,35016,1,114742,164817,1,143980,242611,1,1,
1994,41,6,5,69964,46900,52555,30397,0,0,0,80539,2644,7032,24866,1.52,9284,40079,117606,2846,17091,35595,0,38768,0,0,850,0,202.8,577170,0,2019,15956,-1,10792,18.2,426918,0,417107,60954,1,146599,280139,1,155047,196222,1,1,
1980,21,8,7,46152,74493,83365,93866,1,0,0,95926,196,4529,16224,1.24,67107,18475,32,22,11344,81136,0,9867,0,0,189,0,20904.64,459902,42589058,0,2602,9015,9159,37.3,459902,0,46613,36802,0,81457,94762,0,98524,116373,1,1,
1996,44,1,5,65286,90100,179555,41503,0,1,0,97903,7309,12848,10855,1.52,9904,48397,37921,10470,19562,-1,0,28865,3,2,25371,0,56.32,588541,0,7838,15987,12638,15523,12.7,248390,0,-1,52069,1,88788,115985,1,108616,159238,1,1,
1990,62,5,10,48704,20091,19882,22865,0,0,0,101497,2602,11577,16291,5.09,21084,35055,8892807,10467,17199,28675,0,21535,3,1,27172,0,46.03,481746,0,4704,6279,7151,13215,18,380569,0,71487,42865,1,181612,241728,1,127740,192277,1,1,
1992,34,4,10,82955,68500,18319,45409,1,0,0,91300,14473,9478,11888,7.56,6343,44313,65401,14101,13213,42182,0,-1,2,2,13100,0,40.37,569295,0,43333,21622,10851,14571,26.6,34950,0,592896,50102,0,105527,170622,0,176977,251452,1,1,
1984,14,15,2,105147,98577,8007,64243,0,0,0,86876,2564,3146,9723,16.53,21220,23484,34405,921,16399,95055,0,21537,0,0,196,-1,559.5,515299,0,4558,3939,7896,13206,27,379209,0,73609,42369,1,79455,137457,1,110338,189828,1,1,
1980,33,2,7,50442,17777,552,58341,0,0,0,123018,21039,3152,11053,1.24,6533,21734,79705,7876,13307,43793,0,9703,0,0,378,0,60.52,476647,0,93272,5275,5492,7657,31.9,258178,0,51592,38140,1,145415,206588,1,158082,260668,1,1,
1994,13,9,2,113302,770500,18527,24116,1,1,0,49764,584,6794,37036,28.01,141811,50637,14427,37,37652,27372,0,43401,0,0,233,0,15672.32,579876,127030215,0,6191,-1,16581,35.8,579876,0,1650271,51743,0,111424,213204,0,90783,158807,1,1,
1990,61,4,14,77334,16619,3208,26686,1,0,0,111686,3470,11086,21997,0.81,20555,40771,14180844,29388,20011,32858,0,21771,0,0,566,0,18.49,543509,0,1830,9674,8138,13531,12.8,427921,0,73149,51059,1,206248,236678,1,141843,231238,1,1,
1980,71,40,16,39735,104277,6392,34556,1,1,0,96405,483,12095,17049,16.92,30118,36670,19836032,170,16970,27583,0,11400,2,1,46785,0,2750.96,467664,0,0,7605,3344,10420,35.7,465812,598,52936,33410,1,147882,224240,1,213999,304997,1,1,
1990,13,20,2,111630,326416,80245,24481,0,0,0,83269,2217,6185,19964,16.53,79767,38293,28662,171,27020,44361,0,27416,0,0,119,0,3020.12,516440,0,0,5088,10011,10572,35.8,505308,0,65069,49881,0,102235,203263,0,82203,144627,1,1,
1994,14,1,2,72287,190400,296811,34027,1,0,0,83729,1405,14096,16257,28.01,26093,39035,94068,52,19669,30656,0,24506,0,0,4679,0,10887.17,566133,37953653,0,5270,-1,27474,27,566133,0,1402128,39134,0,150172,185591,0,99669,122264,1,1,
1982,25,2,7,88899,30026,6053,35636,0,0,0,94557,17684,6283,16355,6.9,14095,65081,55075,5477,20642,40402,0,21188,1,0,249,0,95.48,522942,0,45709,38156,7355,14768,24.5,313397,329,59791,50739,0,142037,263138,0,112677,186045,1,1,
1984,3,2,1,107964,36234,27594,53595,0,0,0,97620,2126,5656,13809,5.78,38478,34715,29945,999,20935,81540,0,19648,1,1,1066,-1,522.46,521942,0,1832,8124,8295,13718,19.7,414099,0,71434,43707,0,118215,162773,0,132693,193254,1,1,
1980,49,19,13,32438,56879,28198,50761,0,0,0,122384,20086,3838,13732,1.91,6491,25913,863488,17174,13578,14149,0,8326,1,1,2434,0,27.77,476986,0,43871,8497,5353,7021,15.8,361138,0,45579,40543,0,54729,102799,0,126632,135424,1,1,
1986,23,12,3,72303,56621,10903,42235,0,1,0,108655,1827,5332,11235,1.17,32895,26675,693643,905,18230,72197,0,24991,1,1,1531,0,568.53,514524,0,4088,3113,6599,26028,33.7,433148,0,67225,46896,0,113772,194984,0,87643,132089,1,1,
1980,43,15,5,58462,28773,48352,39966,1,1,0,98546,3493,7203,19731,1.19,68552,25612,1464325,1542,15137,12702,0,9909,3,2,15228,1,293.57,452681,0,1179,3272,11853,5934,16.2,421035,0,48792,37162,0,108837,146734,0,132952,203385,1,1,
1980,13,33,3,50350,164253,18674,65684,0,0,0,114623,5954,4791,12194,0.78,20654,29405,22418,3088,15551,50693,0,9851,1,0,658,0,151.43,467610,0,19398,9063,4949,8504,40.2,242999,1053,52517,33723,1,82501,147454,1,119489,175271,1,1,
1990,12,10,2,84899,41732,304305,56239,0,0,0,106166,593,10041,14487,16.53,73708,41912,36417,39,22397,55877,0,14215,0,0,272,0,13486.05,525956,0,0,9474,13279,25107,19.9,525956,859,43983,29693,0,84681,109473,0,42106,51703,1,1,
1994,40,8,2,52685,74400,75359,17198,0,0,1,61299,1681,69890,26385,28.01,93695,91554,161198,162,17882,15829,0,58582,3,2,17969,0,3474.12,562808,0,39,3782,-1,9365,10.9,561262,0,689418,49232,0,138542,247126,0,120281,202673,1,1,
1982,54,7,6,72223,28086,59759,46807,1,0,0,98245,6150,10792,11748,0.13,7028,38810,261151,7723,18101,54643,0,18411,1,1,10996,0,65.23,503736,0,21808,9917,10020,14881,17.3,256215,0,58557,42514,0,133606,172835,1,73835,146197,1,0,
1988,34,8,8,127840,40975,24091,49473,0,0,0,108096,15178,5937,6983,57.97,3953,33567,54412,16142,15359,45429,0,13733,0,0,320,0,33.83,546125,0,44796,12271,8237,19845,26.6,206750,176,65233,40705,1,79142,150674,1,117601,202402,1,1,
1980,45,1,8,35159,14225,141827,52327,1,1,0,121023,665,7569,14229,32.29,9369,27050,7188,2608,13305,23070,0,8655,3,1,1698,0,174.41,454873,14409268,1523,6176,10296,8581,19.4,390420,0,49247,34459,1,1,1,1,81777,92555,1,1,
1994,53,2,11,152118,31000,52009,81598,1,0,0,186587,18495,13721,17276,11.81,6075,72221,5263,11696,24780,79930,0,24808,0,0,514,0,44.83,1021721,0,42292,33720,-1,28456,12.9,25654,140,609423,82633,0,118542,213513,1,82479,158422,1,0,
1988,14,8,2,68248,98577,12195,42890,0,0,0,94719,2484,8146,14306,16.53,19752,29823,34405,626,16972,72317,0,24608,1,0,1138,0,825.85,516981,0,2750,4705,9268,13751,27,423792,0,74834,51388,0,85731,155778,0,128153,225566,1,1,
1990,3,11,1,111864,36234,42105,36684,1,1,0,97399,980,9185,21334,5.78,45803,43451,29945,183,24419,46919,0,20955,1,1,1197,0,2869.52,525123,0,47,9847,11836,14295,19.7,515253,1006,70225,51771,0,169692,209988,0,145480,206141,1,1,
1996,43,9,5,122012,150200,18909,23381,0,0,0,66894,5073,5472,23410,1.52,36121,29999,2198321,896,18380,25464,0,34585,0,0,1077,0,628.14,562814,46791622,1976,6147,10652,11055,9.6,440877,0,1631335,67076,1,177265,177417,1,161708,235517,1,1,
1984,71,32,16,93243,216356,46414,45205,1,1,0,88397,3103,8911,10948,14.69,90162,35260,21739962,72,21092,66357,0,19893,0,0,2159,-1,7307.69,526154,80351240,0,5257,13608,15319,25.4,526154,1100,71852,50284,0,84663,145999,0,102961,169705,1,1,
1992,62,6,10,43797,34400,19043,24458,0,0,0,85468,2066,17554,29137,7.56,23038,44677,8853058,419,19045,36126,0,-1,1,0,2932,0,1309.76,548788,0,96,8078,17019,11920,18,512369,0,389134,66183,1,105312,163273,1,142021,233097,1,1,
1980,73,6,17,43825,11884,14203,58595,0,1,0,115582,1551,21720,13415,7.73,20445,42210,2108120,764,13844,39384,0,10481,3,0,12162,0,628.3,480020,0,3009,6646,7513,14748,45.3,371622,1110,63072,34541,0,71057,116740,0,122903,229139,1,1,
1980,21,5,7,41593,74493,145026,85883,1,1,0,108835,195,6329,16641,1.24,43587,21658,32,33,13039,64125,0,9881,0,0,329,0,14120.91,465990,42589058,0,2290,14236,9150,37.3,465990,0,51321,39160,0,98702,117506,0,106142,133279,1,1,
1984,1,4,1,102030,16110,58252,37129,0,1,0,87276,1878,4560,19254,5.78,63829,28488,2386,224,20118,75873,0,25879,0,0,200,-1,2315.08,518579,0,90,3810,8777,11242,18.9,499492,0,68102,45908,1,93660,165897,1,165644,235310,1,1,
1986,49,21,12,100049,152838,15114,29043,1,0,0,100979,8634,9955,16893,0.47,23453,39858,993895,44786,20608,23209,0,20869,2,2,5699,0,11.77,526922,0,12377,9295,7584,7310,12.5,394964,243,75002,53504,1,199909,247980,1,100346,165567,1,1,
1990,14,3,2,130611,98577,38968,36473,1,0,0,48630,580,13194,16387,16.53,41577,37583,34405,50,20854,48774,0,20187,1,0,263,0,10322.38,516119,32690108,0,3535,11200,19938,27,516119,0,72857,49199,0,135590,214499,0,89908,149809,1,1,
1990,71,30,16,82805,216356,5364,58859,0,0,0,100893,2724,4274,13087,14.69,160817,29255,21739962,93,19925,68961,0,17537,0,0,188,0,5658.69,526258,0,0,5056,9630,15104,25.4,526258,0,47006,46588,0,72253,120644,0,45456,78083,1,1,
1992,49,14,13,76103,184000,60270,38531,1,1,0,105702,14814,5357,11543,8.95,22640,40277,1054354,15378,17539,34711,0,-1,0,0,664,1,36.81,566008,0,23244,17381,7750,15887,12.5,55833,0,1650800,50022,0,89251,164349,0,135930,199671,1,1,
1988,24,6,4,88644,62434,10501,46260,0,0,0,111053,6635,6820,7978,21.93,5155,32212,14065,4930,18508,59199,0,18409,0,0,332,0,104.46,514969,0,23205,6884,7919,19787,27.4,235482,801,66050,36978,1,106354,151338,1,152235,204870,1,1,
1988,1,3,1,103570,16110,53548,42028,0,1,0,88809,1509,7146,14362,5.78,35932,34237,2386,394,19837,66702,0,22267,1,0,280,0,1316.59,518737,0,340,7254,9848,14669,18.9,459588,641,69895,47947,0,114276,164087,0,147394,221669,1,1,
1992,47,5,5,76189,104000,84149,70307,0,0,0,80745,7478,3195,12241,1.52,5762,35989,359282,4143,13930,89922,0,-1,0,0,343,0,133.32,552337,0,15054,18864,11485,11669,8.9,113335,0,707899,50628,0,113814,192561,0,117835,223683,1,1,
1988,1,2,1,85879,16110,14952,42898,0,1,0,98008,4255,7883,12335,5.78,27761,43686,2386,1778,17551,76500,1,21176,4,1,13051,1,291.44,518184,0,3442,18252,6492,12845,18.9,284028,0,71979,40101,0,109229,162098,0,143326,225291,1,1,
1996,31,2,7,90890,38700,9507,45178,0,0,0,88048,25557,3390,11051,7.03,5063,31553,2057,12261,17442,52273,0,30470,0,0,329,0,45.31,556080,0,67400,10721,8613,11884,20.5,169339,0,301064,55004,1,111076,198487,1,127827,239299,1,1,
1992,71,37,16,39735,328500,193266,55304,1,0,0,126281,4009,8432,8518,99.34,185755,33213,21892142,72,19723,61608,0,-1,0,0,1789,0,7947.1,572191,89608982,0,5058,14565,26170,25.4,572191,0,2856770,40351,1,115469,232082,0,97159,113337,1,0,
